	seqname	bin	max_contigLen	max_score	max_contigLenGroup	full-partial
706	NODE_707_length_36722_cov_4.785938	bin.001	36722		Bacteria?	
511	NODE_512_length_43090_cov_6.034367	bin.002	43090	0.973	dsDNAphage	|full
1628	NODE_1629_length_23292_cov_19.470500	bin.003	23292		Bacteria?	
1905	NODE_1906_length_21440_cov_3.506430	bin.004	21440		Bacteria?	
442	NODE_443_length_45577_cov_4.599666	bin.005	45577	0.827	NCLDV	|full
857	NODE_858_length_33326_cov_3.910072	bin.006	33326		Bacteria?	
8583	NODE_8584_length_8770_cov_3.079977	bin.007	8770		Bacteria?	
4277	NODE_4278_length_13327_cov_3.331299	bin.008	13327		Bacteria?	
42	NODE_43_length_111166_cov_14.868780	bin.009	111166		Bacteria?	
2513	NODE_2514_length_18247_cov_3.763467	bin.010	18247		Bacteria?	
76	NODE_77_length_95026_cov_5.620632	bin.011	95026		Bacteria?	
12348	NODE_12349_length_7054_cov_2.896414	bin.012	7054	0.673	NCLDV	|full
3422	NODE_3423_length_15225_cov_3.198550	bin.013	15225		Bacteria?	
3126	NODE_3127_length_16070_cov_3.421855	bin.014	16070		Bacteria?	
9663	NODE_9664_length_8173_cov_3.855014	bin.015	8173		Bacteria?	
8919	NODE_8920_length_8567_cov_3.419408	bin.016	8567	1.0	dsDNAphage	|full
8878	NODE_8879_length_8590_cov_3.284359	bin.017	8590		Bacteria?	
922	NODE_923_length_32096_cov_4.467744	bin.018	32096		Bacteria?	
238	NODE_239_length_60586_cov_9.576250	bin.019	60586		Bacteria?	
160	NODE_161_length_70189_cov_9.215787	bin.020	70189		Bacteria?	
2995	NODE_2996_length_16456_cov_3.156881	bin.021	16456		Bacteria?	
5792	NODE_5793_length_11078_cov_3.414588	bin.022	11078		Bacteria?	
78	NODE_79_length_94046_cov_4.912141	bin.023	94046		Bacteria?	
4	NODE_5_length_205290_cov_15.480376	bin.024	205290	1.0	dsDNAphage	|full
1700	NODE_1701_length_22854_cov_4.428835	bin.025	22854		Bacteria?	
23	NODE_24_length_129488_cov_6.211986	bin.026	129488		Bacteria?	
2369	NODE_2370_length_18919_cov_3.388200	bin.027	18919		Bacteria?	
2534	NODE_2535_length_18168_cov_6.501297	bin.028	18168		Bacteria?	
50	NODE_51_length_105431_cov_21.824049	bin.029	105431		Bacteria?	
