Metagenome	Bin Name	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	BinContigLenSum	gcMean
C1	bin.001	98.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	5237627	53
C1	bin.002	0	0	NA	NA	NA	NA	NA	NA	NA	93112	58
C1	bin.003	30.17	4.31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			1917184	64
C1	bin.004	0	0	NA	NA	NA	NA	NA	NA	NA	244577	51
C1	bin.005	81.83	4.59	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	Acetonemaceae			2387371	46
C1	bin.006	81.3	4.76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		2077213	54
C1	bin.007	73.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		800667	53
C1	bin.008	98.62	5.48	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			4747890	34
C1	bin.009	0	0	NA	NA	NA	NA	NA	NA	NA	547148	57
C1	bin.010	94.85	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		3831607	63
C1	bin.011	8.33	0	NA	NA	NA	NA	NA	NA	NA	735060	35
C1	bin.012	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	7131976	61
C1	bin.013	3.45	0	NA	NA	NA	NA	NA	NA	NA	854348	32
C1	bin.014	0	0	NA	NA	NA	NA	NA	NA	NA	216371	49
C1	bin.015	0.16	0	NA	NA	NA	NA	NA	NA	NA	203278	52
C1	bin.016	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		4719231	53
C1	bin.017	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		4645902	38
C1	bin.018	42.9	17.24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		7139742	62
C2	bin.001	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			553024	52
C2	bin.002	33.99	4.02	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			252843	51
C2	bin.003	91.42	154.24	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		7400336	63
C2	bin.004	0	0	NA	NA	NA	NA	NA	NA	NA	205153	35
C2	bin.005	18.97	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		1908947	62
C2	bin.006	36.21	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia		5033289	61
C2	bin.007	0	0	NA	NA	NA	NA	NA	NA	NA	341727	38
C2	bin.008	25.86	0	Bacteria	Proteobacteria	Gammaproteobacteria	UBA6186	UBA6186			288260	38
C2	bin.009	54.81	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			4781097	65
C2	bin.010	97.81	236.87	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JABEUX01		7985643	62
C2	bin.011	0	0	NA	NA	NA	NA	NA	NA	NA	380454	51
C2	bin.012	41.38	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		4790547	62
C2	bin.013	56.77	3.91	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		641629	59
C2	bin.014	97.51	66.01	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		14774727	62
C2	bin.015	13.79	0	NA	NA	NA	NA	NA	NA	NA	111395	47
C2	bin.016	63.9	23.28	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		1412956	68
C2	bin.017	90.72	10.52	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		4249808	66
