	seqname	contigLen	totalAvgDepth	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
0	NODE_1_length_875661_cov_21.507197	875661	33.6863	33.6863	47.6029	bin.001	53.0							Bacteria?					
1	NODE_2_length_608219_cov_20.840084	608219	32.4788	32.4788	52.0338	bin.001	53.0							Bacteria?					
2	NODE_3_length_459554_cov_23.079332	459554	36.1837	36.1837	50.3063	bin.001	52.0	bin.001	0.913	0.0	0.0	0.0	0.913	dsDNAphage	111045.0	11.0	29.7	33.9	|0_partial
3	NODE_4_length_420198_cov_21.633789	420198	33.9415	33.9415	44.4969	bin.001	53.0							Bacteria?					
4	NODE_5_length_409707_cov_24.299415	409707	38.0817	38.0817	51.6943	bin.001	53.0							Bacteria?					
5	NODE_6_length_401723_cov_24.584709	401723	38.5217	38.5217	52.4428	bin.001	53.0	bin.001	0.953	0.0	0.0	0.02	0.953	dsDNAphage	34392.0	13.0	48.8	26.8	|0_partial
9	NODE_10_length_280052_cov_23.356582	280052	36.2814	36.2814	53.2542	bin.001	53.0							Bacteria?					
12	NODE_13_length_247526_cov_24.984208	247526	39.1364	39.1364	53.4705	bin.001	53.0							Bacteria?					
13	NODE_14_length_242712_cov_20.810416	242712	31.7222	31.7222	50.2943	bin.001	54.0							Bacteria?					
18	NODE_19_length_200138_cov_19.608283	200138	30.3432	30.3432	42.4756	bin.001	55.0							Bacteria?					
20	NODE_21_length_184820_cov_22.269813	184820	34.9144	34.9144	49.5627	bin.001	54.0							Bacteria?					
31	NODE_32_length_140819_cov_24.925542	140819	39.0484	39.0484	53.1569	bin.001	53.0							Bacteria?					
36	NODE_37_length_124328_cov_25.512171	124328	39.9777	39.9777	51.7087	bin.001	52.0							Bacteria?					
39	NODE_40_length_114331_cov_25.149559	114331	36.5326	36.5326	90.8043	bin.001	52.0							Bacteria?					
47	NODE_48_length_103197_cov_20.516957	103197	32.0602	32.0602	42.948	bin.001	54.0							Bacteria?					
78	NODE_79_length_76588_cov_24.788862	76588	38.8517	38.8517	50.3939	bin.001	54.0							Bacteria?					
113	NODE_114_length_62359_cov_24.299949	62359	38.0697	38.0697	54.602	bin.001	53.0							Bacteria?					
135	NODE_136_length_53730_cov_24.646185	53730	38.6738	38.6738	51.5923	bin.001	51.0							Bacteria?					
144	NODE_145_length_52039_cov_19.889351	52039	31.1179	31.1179	40.5478	bin.001	55.0							Bacteria?					
185	NODE_186_length_44917_cov_23.842941	44917	37.2983	37.2983	51.4047	bin.001	53.0							Bacteria?					
201	NODE_202_length_42718_cov_24.474463	42718	37.5305	37.5305	58.1713	bin.001	52.0							Bacteria?					
221	NODE_222_length_39695_cov_24.490515	39695	38.3228	38.3228	54.7566	bin.001	53.0							Bacteria?					
342	NODE_343_length_27047_cov_25.688500	27047	40.2511	40.2511	58.6796	bin.001	52.0							Bacteria?					
835	NODE_836_length_13205_cov_21.284183	13205	32.8974	32.8974	45.51	bin.001	52.0							Bacteria?					
906	NODE_907_length_12344_cov_25.563512	12344	39.712	39.712	49.1052	bin.001	54.0							Bacteria?					
1970	NODE_1971_length_6856_cov_3.737980	6856	5.84283	5.84283	5.61656	bin.002	54.0							Bacteria?					
2042	NODE_2043_length_6663_cov_4.135896	6663	6.47996	6.47996	7.34125	bin.002	53.0							Bacteria?					
2485	NODE_2486_length_5802_cov_2.510701	5802	4.30538	4.30538	4.14062	bin.002	60.0							Bacteria?					
2530	NODE_2531_length_5733_cov_2.381825	5733	4.03582	4.03582	3.07681	bin.002	58.0	bin.002	0.327	0.047	0.6	0.353	0.6	lavidaviridae	5733.0	0.0	40.0	0.0	|full
2608	NODE_2609_length_5600_cov_2.753652	5600	4.57303	4.57303	3.85785	bin.002	59.0							Bacteria?					
2736	NODE_2737_length_5436_cov_2.682401	5436	4.12618	4.12618	3.58691	bin.002	59.0							Bacteria?					
2804	NODE_2805_length_5340_cov_2.555724	5340	4.26936	4.26936	2.55686	bin.002	58.0							Bacteria?					
2807	NODE_2808_length_5335_cov_2.507576	5335	3.94195	3.94195	3.83638	bin.002	58.0							Bacteria?					
2843	NODE_2844_length_5301_cov_2.372665	5301	3.76179	3.76179	3.74145	bin.002	62.0							Bacteria?					
2851	NODE_2852_length_5291_cov_2.511268	5291	4.03793	4.03793	3.09017	bin.002	58.0							Bacteria?					
2917	NODE_2918_length_5201_cov_2.579674	5201	4.36488	4.36488	4.52768	bin.002	58.0							Bacteria?					
2932	NODE_2933_length_5174_cov_2.368627	5174	3.7496	3.7496	2.32826	bin.002	61.0							Bacteria?					
2956	NODE_2957_length_5151_cov_2.448980	5151	4.08958	4.08958	2.65156	bin.002	59.0							Bacteria?					
3002	NODE_3003_length_5080_cov_2.623284	5080	4.2284	4.2284	3.809	bin.002	58.0							Bacteria?					
3004	NODE_3005_length_5076_cov_2.572993	5076	4.30126	4.30126	3.36469	bin.002	57.0							Bacteria?					
3013	NODE_3014_length_5066_cov_2.808621	5066	4.77583	4.77583	4.52107	bin.002	59.0							Bacteria?					
3074	NODE_3075_length_5007_cov_2.504241	5007	3.94873	3.94873	3.40713	bin.002	58.0							Bacteria?					
440	NODE_441_length_23004_cov_3.521068	23004	5.53566	5.53566	6.08303	bin.003	57.0							Bacteria?					
495	NODE_496_length_20403_cov_3.522213	20403	5.56648	5.56648	5.11444	bin.003	64.0							Bacteria?					
542	NODE_543_length_18901_cov_3.842089	18901	6.07605	6.07605	5.83641	bin.003	60.0							Bacteria?					
547	NODE_548_length_18766_cov_3.345679	18766	5.31817	5.31817	5.20526	bin.003	65.0							Bacteria?					
578	NODE_579_length_17727_cov_3.285706	17727	5.13182	5.13182	5.6164	bin.003	62.0							Bacteria?					
584	NODE_585_length_17592_cov_3.477961	17592	5.49834	5.49834	5.99336	bin.003	61.0							Bacteria?					
656	NODE_657_length_15898_cov_3.604115	15898	5.55105	5.55105	5.44843	bin.003	65.0							Bacteria?					
659	NODE_660_length_15889_cov_3.877795	15889	5.82807	5.82807	7.19763	bin.003	64.0							Bacteria?					
695	NODE_696_length_15235_cov_3.754018	15235	6.00312	6.00312	7.32729	bin.003	66.0							Bacteria?					
719	NODE_720_length_14800_cov_4.124720	14800	6.11079	6.11079	7.82924	bin.003	64.0							Bacteria?					
799	NODE_800_length_13636_cov_3.517046	13636	5.60166	5.60166	5.9467	bin.003	64.0							Bacteria?					
817	NODE_818_length_13410_cov_3.298540	13410	5.22368	5.22368	6.23045	bin.003	63.0							Bacteria?					
839	NODE_840_length_13179_cov_3.721274	13179	5.72177	5.72177	8.00109	bin.003	65.0							Bacteria?					
879	NODE_880_length_12644_cov_3.552228	12644	5.55371	5.55371	6.11995	bin.003	63.0							Bacteria?					
966	NODE_967_length_11774_cov_3.894274	11774	5.9403	5.9403	5.98654	bin.003	65.0							Bacteria?					
