	bin	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
0	bin.001	102892	0	60	NODE_6485_length_10838_cov_6.851433	10838		Bacteria?		Bacteria?	102892.0	100.0
1	bin.002	138462	1	32	NODE_8500_length_9284_cov_2.980930	9284		Bacteria?		Bacteria?	77990.0	56.0
2	bin.003	596172	0	47	NODE_2227_length_19361_cov_4.155030	19361		Bacteria?		Bacteria?	580342.0	97.0
3	bin.004	1395028	0	46	NODE_363_length_47168_cov_4.733534	47168		Bacteria?		Bacteria?	1342900.0	96.0
4	bin.005	1205476	0	45	NODE_40_length_96851_cov_5.436278	96851		Bacteria?		Bacteria?	1187122.0	98.0
5	bin.006	934990	29	66	NODE_97_length_74461_cov_15.004583	74461	1.0	dsDNAphage	|full	Bacteria?	728610.0	77.0
6	bin.007	1024759	0	60	NODE_4712_length_12850_cov_3.227433	12850		Bacteria?		Bacteria?	1012609.0	98.0
7	bin.008	1199767	0	33	NODE_126_length_68771_cov_4.580593	68771		Bacteria?		Bacteria?	1126213.0	93.0
8	bin.009	5091475	1	71	NODE_83_length_77380_cov_6.738493	77380		Bacteria?		Bacteria?	5076444.0	99.0
9	bin.010	91063	0	61	NODE_11920_length_7667_cov_23.489753	7667		Bacteria?		Bacteria?	78977.0	86.0
10	bin.011	98909	0	56	NODE_11904_length_7674_cov_2.890931	7674		Bacteria?		Bacteria?	98909.0	100.0
11	bin.012	1771798	1	59	NODE_118_length_69426_cov_13.797235	69426		Bacteria?		Bacteria?	1741097.0	98.0
12	bin.013	67781	0	66	NODE_14803_length_6827_cov_2.787803	6827		Bacteria?		Bacteria?	57169.0	84.0
13	bin.014	478750	0	66	NODE_6454_length_10862_cov_3.262330	10862		Bacteria?		Bacteria?	478750.0	100.0
14	bin.015	38957	0	46	NODE_9523_length_8701_cov_3.605829	8701		Bacteria?		Bacteria?	33941.0	87.0
15	bin.016	83740	0	42	NODE_8869_length_9067_cov_2.589325	9067		Bacteria?		Bacteria?	77098.0	92.0
16	bin.017	6352439	15	55	NODE_197_length_58694_cov_4.157301	58694		Bacteria?		Bacteria?	6195040.0	97.0
17	bin.018	2932184	0	70	NODE_558_length_39860_cov_5.531742	39860		Bacteria?		Bacteria?	2807500.0	95.0
18	bin.019	1161400	0	35	NODE_5_length_245646_cov_12.577961	245646		Bacteria?		Bacteria?	1131146.0	97.0
19	bin.020	354104	2	60	NODE_6167_length_11133_cov_3.917404	11133	1.0	dsDNAphage	|full	Bacteria?	342971.0	96.0
20	bin.021	595482	0	61	NODE_5962_length_11327_cov_3.159422	11327		Bacteria?		Bacteria?	578208.0	97.0
21	bin.022	389844	0	55	NODE_3840_length_14413_cov_2.831801	14413		Bacteria?		Bacteria?	368101.0	94.0
22	bin.023	162855	0	66	NODE_5684_length_11628_cov_4.790720	11628		Bacteria?		Bacteria?	162855.0	100.0
23	bin.024	96774	4	38	NODE_4684_length_12885_cov_3.668589	12885		Bacteria?		NCLDV	33657.0	34.0
24	bin.025	1014350	1	44	NODE_4537_length_13128_cov_3.828731	13128		Bacteria?		Bacteria?	929266.0	91.0
25	bin.026	5232827	17	65	NODE_27_length_109374_cov_5.962733	109374	0.967	dsDNAphage	|full	Bacteria?	4777618.0	91.0
26	bin.027	289233	1	38	NODE_3404_length_15435_cov_3.532185	15435		Bacteria?		Bacteria?	230265.0	79.0
27	bin.028	1327172	0	43	NODE_634_length_37895_cov_4.300581	37895		Bacteria?		Bacteria?	1319383.0	99.0
28	bin.029	2252110	1	67	NODE_942_length_30637_cov_9.017069	30637		Bacteria?		Bacteria?	2219068.0	98.0
29	bin.030	155628	0	54	NODE_6933_length_10419_cov_3.294384	10419		Bacteria?		Bacteria?	149838.0	96.0
30	bin.031	571644	0	65	NODE_2808_length_17219_cov_3.102482	17219		Bacteria?		Bacteria?	571644.0	100.0
31	bin.032	110183	0	64	NODE_12277_length_7545_cov_2.599199	7545		Bacteria?		Bacteria?	99438.0	90.0
32	bin.033	500730	0	42	NODE_2376_length_18713_cov_3.398757	18713		Bacteria?		Bacteria?	455936.0	91.0
33	bin.034	1768305	6	67	NODE_1032_length_29175_cov_6.019402	29175		Bacteria?		Bacteria?	1707344.0	96.0
34	bin.035	863012	9	44	NODE_480_length_42218_cov_5.983184	42218	0.993	dsDNAphage	|full	Bacteria?	733668.0	85.0
35	bin.036	7798578	27	38	NODE_7_length_190147_cov_5.800007	190147	1.0	dsDNAphage	|full	Bacteria?	6960655.0	89.0
36	bin.037	5452392	21	66	NODE_455_length_42967_cov_4.504311	42967		Bacteria?		Bacteria?	5124138.0	93.0
37	bin.038	2000764	4	53	NODE_1819_length_21489_cov_4.483438	21489		Bacteria?		Bacteria?	1913786.0	95.0
38	bin.039	218383	2	36	NODE_2272_length_19176_cov_3.346844	19176		Bacteria?		Bacteria?	199252.0	91.0
39	bin.040	2790620	1	56	NODE_673_length_36720_cov_5.176163	36720		Bacteria?		Bacteria?	2744178.0	98.0
40	bin.041	287038	0	39	NODE_4667_length_12922_cov_3.640709	12922		Bacteria?		Bacteria?	214755.0	74.0
41	bin.042	166683	0	60	NODE_8841_length_9082_cov_4.110779	9082		Bacteria?		Bacteria?	161159.0	96.0
42	bin.043	211845	0	62	NODE_6570_length_10740_cov_2.996350	10740		Bacteria?		Bacteria?	199916.0	94.0
