	seqname	contigLen	totalAvgDepth	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
27	NODE_28_length_80520_cov_6.490748	80520	9.72609	9.72609	12.1622	bin.001	58							Bacteria?					
34	NODE_35_length_69820_cov_6.152713	69820	9.33677	9.33677	11.873	bin.001	58	bin.001	0.993	0.013	0.02	0.34	0.993	dsDNAphage	69674.0	7.0	19.2	1.6	|full
41	NODE_42_length_62159_cov_6.107320	62159	9.08881	9.08881	13.2329	bin.001	59							Bacteria?					
43	NODE_44_length_59395_cov_6.045197	59395	9.15065	9.15065	11.8757	bin.001	57							Bacteria?					
58	NODE_59_length_49084_cov_5.459565	49084	8.41505	8.41505	11.1301	bin.001	58							Bacteria?					
62	NODE_63_length_47396_cov_6.425065	47396	9.53086	9.53086	12.9193	bin.001	56							Bacteria?					
73	NODE_74_length_43789_cov_6.650867	43789	9.95511	9.95511	11.6556	bin.001	56							Bacteria?					
82	NODE_83_length_41121_cov_7.065918	41121	10.775	10.775	13.039	bin.001	60	bin.001	1.0	0.0	0.24	0.427	1.0	dsDNAphage	41066.0	5.0	24.1	3.4	|full
84	NODE_85_length_40297_cov_7.483873	40297	11.1048	11.1048	12.4129	bin.001	59	bin.001	1.0	0.533	0.14	0.327	1.0	dsDNAphage	40242.0	6.0	36.1	0.0	|full
91	NODE_92_length_37454_cov_5.983155	37454	8.65564	8.65564	12.9357	bin.001	61							Bacteria?					
92	NODE_93_length_37436_cov_6.781360	37436	10.0735	10.0735	12.4462	bin.001	59							Bacteria?					
94	NODE_95_length_37004_cov_4.747165	37004	7.17249	7.17249	7.79318	bin.001	58							Bacteria?					
98	NODE_99_length_36359_cov_6.060379	36359	9.21213	9.21213	11.1816	bin.001	56							Bacteria?					
99	NODE_100_length_35917_cov_6.116307	35917	8.98753	8.98753	10.6638	bin.001	60							Bacteria?					
100	NODE_101_length_35839_cov_6.073916	35839	9.01628	9.01628	13.581	bin.001	58							Bacteria?					
101	NODE_102_length_35821_cov_5.068808	35821	7.56146	7.56146	9.59731	bin.001	58							Bacteria?					
105	NODE_106_length_35286_cov_6.365729	35286	9.31731	9.31731	10.5258	bin.001	59							Bacteria?					
106	NODE_107_length_35135_cov_6.097121	35135	8.93066	8.93066	10.4472	bin.001	54							Bacteria?					
108	NODE_109_length_35040_cov_5.135687	35040	7.95044	7.95044	9.60843	bin.001	59							Bacteria?					
111	NODE_112_length_34546_cov_6.171523	34546	9.18758	9.18758	13.8306	bin.001	61							Bacteria?					
112	NODE_113_length_34293_cov_4.681932	34293	7.32112	7.32112	8.5537	bin.001	59							Bacteria?					
113	NODE_114_length_34151_cov_4.439025	34151	6.68342	6.68342	8.377	bin.001	56							Bacteria?					
117	NODE_118_length_33546_cov_5.084202	33546	7.93104	7.93104	12.4254	bin.001	60							Bacteria?					
118	NODE_119_length_33166_cov_6.520069	33166	9.63957	9.63957	10.2883	bin.001	58							Bacteria?					
119	NODE_120_length_32791_cov_6.223515	32791	9.30891	9.30891	12.1539	bin.001	61							Bacteria?					
121	NODE_122_length_32601_cov_5.502704	32601	8.34064	8.34064	12.5388	bin.001	56							Bacteria?					
122	NODE_123_length_32565_cov_6.584651	32565	9.72423	9.72423	12.2213	bin.001	60							Bacteria?					
123	NODE_124_length_32506_cov_6.209054	32506	9.31527	9.31527	13.8005	bin.001	60							Bacteria?					
126	NODE_127_length_32140_cov_6.280910	32140	9.39744	9.39744	12.7747	bin.001	57							Bacteria?					
130	NODE_131_length_31715_cov_5.236639	31715	7.94792	7.94792	10.0427	bin.001	55							Bacteria?					
132	NODE_133_length_31361_cov_6.291158	31361	9.37932	9.37932	11.1997	bin.001	59							Bacteria?					
134	NODE_135_length_30946_cov_4.691399	30946	7.03861	7.03861	7.51586	bin.001	61							Bacteria?					
136	NODE_137_length_30684_cov_4.340658	30684	6.56013	6.56013	8.53039	bin.001	60							Bacteria?					
137	NODE_138_length_30615_cov_5.025916	30615	7.73872	7.73872	9.20461	bin.001	60							Bacteria?					
138	NODE_139_length_30523_cov_5.916601	30523	8.82619	8.82619	11.8535	bin.001	60							Bacteria?					
139	NODE_140_length_30492_cov_5.832835	30492	8.80723	8.80723	10.2627	bin.001	58							Bacteria?					
140	NODE_141_length_30375_cov_4.485191	30375	6.77684	6.77684	7.76426	bin.001	61							Bacteria?					
142	NODE_143_length_30243_cov_6.505930	30243	9.70402	9.70402	13.3653	bin.001	61							Bacteria?					
146	NODE_147_length_29529_cov_6.284793	29529	9.16219	9.16219	11.7089	bin.001	56							Bacteria?					
147	NODE_148_length_29416_cov_6.218283	29416	9.17266	9.17266	12.5468	bin.001	59							Bacteria?					
149	NODE_150_length_29111_cov_5.591169	29111	8.39235	8.39235	8.37418	bin.001	58							Bacteria?					
152	NODE_153_length_28890_cov_5.702688	28890	8.26903	8.26903	9.086	bin.001	60							Bacteria?					
153	NODE_154_length_28794_cov_4.639305	28794	6.94533	6.94533	9.49972	bin.001	59							Bacteria?					
155	NODE_156_length_28478_cov_5.724660	28478	8.53724	8.53724	9.71229	bin.001	61							Bacteria?					
156	NODE_157_length_28453_cov_6.154307	28453	9.22517	9.22517	12.3771	bin.001	59							Bacteria?					
158	NODE_159_length_28384_cov_5.787285	28384	8.52061	8.52061	9.32448	bin.001	58							Bacteria?					
161	NODE_162_length_28079_cov_5.794355	28079	8.68971	8.68971	11.9958	bin.001	58							Bacteria?					
162	NODE_163_length_27999_cov_4.469153	27999	6.70089	6.70089	7.90066	bin.001	56							Bacteria?					
163	NODE_164_length_27637_cov_5.806432	27637	8.57576	8.57576	12.1596	bin.001	61							Bacteria?					
168	NODE_169_length_27034_cov_6.100337	27034	9.21463	9.21463	13.21	bin.001	59							Bacteria?					
174	NODE_175_length_26460_cov_4.549025	26460	7.17796	7.17796	7.59456	bin.001	61							Bacteria?					
176	NODE_177_length_26202_cov_6.800742	26202	10.1021	10.1021	13.15	bin.001	57							Bacteria?					
177	NODE_178_length_26201_cov_6.627438	26201	9.78342	9.78342	11.8806	bin.001	58							Bacteria?					
180	NODE_181_length_25976_cov_5.955519	25976	8.86185	8.86185	11.5216	bin.001	60							Bacteria?					
182	NODE_183_length_25822_cov_5.858113	25822	8.58683	8.58683	10.7588	bin.001	61							Bacteria?					
183	NODE_184_length_25682_cov_5.605104	25682	8.54661	8.54661	10.3089	bin.001	58							Bacteria?					
186	NODE_187_length_25378_cov_5.600245	25378	8.35948	8.35948	10.3859	bin.001	61							Bacteria?					
187	NODE_188_length_25342_cov_5.857199	25342	8.69014	8.69014	11.1546	bin.001	58							Bacteria?					
191	NODE_192_length_25075_cov_5.674460	25075	8.43258	8.43258	11.8177	bin.001	59							Bacteria?					
192	NODE_193_length_24837_cov_6.308611	24837	9.39328	9.39328	11.774	bin.001	58							Bacteria?					
193	NODE_194_length_24742_cov_4.314335	24742	6.53839	6.53839	6.46951	bin.001	53	bin.001	1.0	0.0	0.02	0.06	1.0	dsDNAphage	24391.0	5.0	32.4	2.9	|full
195	NODE_196_length_24315_cov_4.521682	24315	6.94376	6.94376	8.43882	bin.001	56							Bacteria?					
198	NODE_199_length_24025_cov_5.011723	24025	7.47116	7.47116	9.22315	bin.001	61							Bacteria?					
199	NODE_200_length_23951_cov_6.100310	23951	9.26079	9.26079	13.4017	bin.001	56							Bacteria?					
200	NODE_201_length_23760_cov_5.357477	23760	7.9992	7.9992	11.4418	bin.001	57							Bacteria?					
201	NODE_202_length_23694_cov_5.554380	23694	8.48093	8.48093	8.94623	bin.001	59							Bacteria?					
202	NODE_203_length_23681_cov_5.130323	23681	7.92495	7.92495	8.46372	bin.001	57							Bacteria?					
203	NODE_204_length_23672_cov_5.906974	23672	9.03639	9.03639	12.2611	bin.001	59							Bacteria?					
206	NODE_207_length_23479_cov_6.136697	23479	9.08877	9.08877	13.801	bin.001	60							Bacteria?					
207	NODE_208_length_23446_cov_6.246804	23446	9.47884	9.47884	12.2222	bin.001	60							Bacteria?					
208	NODE_209_length_23410_cov_4.010019	23410	6.22141	6.22141	6.04971	bin.001	58							Bacteria?					
213	NODE_214_length_23206_cov_5.643687	23206	8.42787	8.42787	10.047	bin.001	59							Bacteria?					
216	NODE_217_length_22947_cov_5.448454	22947	8.12388	8.12388	9.59002	bin.001	59							Bacteria?					
217	NODE_218_length_22881_cov_5.059932	22881	7.78747	7.78747	9.204	bin.001	60							Bacteria?					
218	NODE_219_length_22880_cov_4.535509	22880	6.89204	6.89204	8.07327	bin.001	59							Bacteria?					
219	NODE_220_length_22858_cov_6.123054	22858	9.10261	9.10261	12.1048	bin.001	61							Bacteria?					
226	NODE_227_length_22421_cov_4.417464	22421	7.04324	7.04324	9.17938	bin.001	62							Bacteria?					
228	NODE_229_length_22325_cov_4.912618	22325	7.36284	7.36284	10.0433	bin.001	54							Bacteria?					
229	NODE_230_length_22265_cov_5.403152	22265	8.06059	8.06059	8.92346	bin.001	58	bin.001	0.993	0.107	0.16	0.18	0.993	dsDNAphage	22184.0	9.0	70.4	3.7	|full
232	NODE_233_length_22152_cov_5.946101	22152	8.86978	8.86978	10.5433	bin.001	56							Bacteria?					
234	NODE_235_length_22005_cov_5.259954	22005	7.96147	7.96147	9.46571	bin.001	56							Bacteria?					
235	NODE_236_length_21948_cov_4.112273	21948	6.14561	6.14561	5.94357	bin.001	58							Bacteria?					
236	NODE_237_length_21885_cov_5.443060	21885	8.30568	8.30568	10.5966	bin.001	56							Bacteria?					
237	NODE_238_length_21849_cov_4.525787	21849	6.69819	6.69819	7.13781	bin.001	60							Bacteria?					
238	NODE_239_length_21694_cov_5.836268	21694	8.42643	8.42643	11.2889	bin.001	61							Bacteria?					
241	NODE_242_length_21524_cov_5.712376	21524	8.64424	8.64424	9.5362	bin.001	58							Bacteria?					
243	NODE_244_length_21486_cov_5.775185	21486	8.56712	8.56712	12.6185	bin.001	60							Bacteria?					
245	NODE_246_length_21454_cov_4.623814	21454	6.94057	6.94057	8.45921	bin.001	60							Bacteria?					
246	NODE_247_length_21411_cov_5.180745	21411	7.87037	7.87037	9.04559	bin.001	59							Bacteria?					
248	NODE_249_length_21350_cov_6.047288	21350	8.665	8.665	13.2714	bin.001	59							Bacteria?					
249	NODE_250_length_21334_cov_6.985338	21334	8.71068	8.71068	15.0644	bin.001	60							Bacteria?					
250	NODE_251_length_21321_cov_5.691667	21321	8.4791	8.4791	10.616	bin.001	54							Bacteria?					
252	NODE_253_length_21251_cov_4.768541	21251	7.25283	7.25283	10.0427	bin.001	60							Bacteria?					
253	NODE_254_length_21177_cov_4.180617	21177	6.40995	6.40995	7.34659	bin.001	55							Bacteria?					
254	NODE_255_length_21161_cov_6.689520	21161	10.088	10.088	12.1919	bin.001	55							Bacteria?					
255	NODE_256_length_21101_cov_6.229260	21101	9.28595	9.28595	10.6077	bin.001	55							Bacteria?					
256	NODE_257_length_21085_cov_6.091821	21085	9.12921	9.12921	10.8057	bin.001	56							Bacteria?					
257	NODE_258_length_20956_cov_5.370174	20956	8.24147	8.24147	9.68798	bin.001	57							Bacteria?					
258	NODE_259_length_20926_cov_5.132385	20926	7.75765	7.75765	11.009	bin.001	59							Bacteria?					
259	NODE_260_length_20924_cov_4.419905	20924	6.6137	6.6137	9.83959	bin.001	59							Bacteria?					
262	NODE_263_length_20756_cov_5.498333	20756	8.18582	8.18582	13.4315	bin.001	58							Bacteria?					
263	NODE_264_length_20750_cov_5.858951	20750	8.80772	8.80772	11.5956	bin.001	58							Bacteria?					
264	NODE_265_length_20662_cov_4.999660	20662	7.55012	7.55012	9.53441	bin.001	62							Bacteria?					
267	NODE_268_length_20550_cov_4.572140	20550	6.91721	6.91721	9.28855	bin.001	61							Bacteria?					
268	NODE_269_length_20512_cov_6.180183	20512	9.21172	9.21172	11.2538	bin.001	58							Bacteria?					
270	NODE_271_length_20429_cov_5.845686	20429	8.77627	8.77627	11.4958	bin.001	60							Bacteria?					
271	NODE_272_length_20354_cov_5.813488	20354	8.54964	8.54964	10.0685	bin.001	61							Bacteria?					
272	NODE_273_length_20343_cov_5.187796	20343	7.87486	7.87486	9.16684	bin.001	57							Bacteria?					
275	NODE_276_length_20173_cov_6.206134	20173	9.15188	9.15188	12.8579	bin.001	61							Bacteria?					
276	NODE_277_length_20072_cov_5.733427	20072	8.65917	8.65917	10.9	bin.001	58							Bacteria?					
277	NODE_278_length_20051_cov_5.128126	20051	7.62972	7.62972	9.84923	bin.001	60							Bacteria?					
278	NODE_279_length_20004_cov_5.841696	20004	8.8697	8.8697	12.0115	bin.001	60							Bacteria?					
279	NODE_280_length_19998_cov_4.931405	19998	7.5393	7.5393	9.27561	bin.001	57							Bacteria?					
281	NODE_282_length_19966_cov_4.763246	19966	7.14695	7.14695	7.30992	bin.001	57							Bacteria?					
282	NODE_283_length_19905_cov_5.437834	19905	8.28681	8.28681	9.41656	bin.001	59							Bacteria?					
283	NODE_284_length_19893_cov_5.793427	19893	8.7623	8.7623	12.0884	bin.001	59							Bacteria?					
284	NODE_285_length_19888_cov_5.090153	19888	7.72439	7.72439	10.5496	bin.001	60							Bacteria?					
285	NODE_286_length_19865_cov_6.089702	19865	9.26503	9.26503	12.4049	bin.001	60							Bacteria?					
288	NODE_289_length_19848_cov_5.553276	19848	8.44025	8.44025	9.04156	bin.001	61							Bacteria?					
290	NODE_291_length_19812_cov_5.909652	19812	8.54801	8.54801	11.3987	bin.001	58							Bacteria?					
292	NODE_293_length_19807_cov_6.118013	19807	9.05103	9.05103	10.9644	bin.001	58							Bacteria?					
294	NODE_295_length_19702_cov_5.505064	19702	8.32922	8.32922	9.14887	bin.001	58							Bacteria?					
295	NODE_296_length_19578_cov_5.236285	19578	8.09749	8.09749	10.8463	bin.001	61							Bacteria?					
300	NODE_301_length_19532_cov_6.220311	19532	8.99567	8.99567	12.715	bin.001	61							Bacteria?					
301	NODE_302_length_19528_cov_4.313665	19528	6.55119	6.55119	6.98136	bin.001	53							Bacteria?					
302	NODE_303_length_19520_cov_5.638736	19520	8.51616	8.51616	11.4999	bin.001	58							Bacteria?					
304	NODE_305_length_19387_cov_5.207842	19387	7.79446	7.79446	8.18944	bin.001	54							Bacteria?					
306	NODE_307_length_19332_cov_5.524719	19332	8.35528	8.35528	11.525	bin.001	57							Bacteria?					
307	NODE_308_length_19331_cov_5.561683	19331	8.4299	8.4299	11.2062	bin.001	58							Bacteria?					
308	NODE_309_length_19294_cov_5.939394	19294	8.64067	8.64067	10.3767	bin.001	59							Bacteria?					
310	NODE_311_length_19275_cov_6.773881	19275	10.0944	10.0944	14.9893	bin.001	60							Bacteria?					
311	NODE_312_length_19213_cov_5.129032	19213	7.79269	7.79269	8.24848	bin.001	57							Bacteria?					
312	NODE_313_length_19152_cov_5.931141	19152	8.94732	8.94732	11.5382	bin.001	59							Bacteria?					
313	NODE_314_length_19145_cov_5.746464	19145	8.21369	8.21369	10.7761	bin.001	55							Bacteria?					
314	NODE_315_length_19137_cov_5.554187	19137	8.10565	8.10565	10.3904	bin.001	60							Bacteria?					
315	NODE_316_length_19137_cov_4.266534	19137	6.30305	6.30305	5.83417	bin.001	56							Bacteria?					
317	NODE_318_length_19095_cov_4.091124	19095	6.22534	6.22534	6.28883	bin.001	58							Bacteria?					
319	NODE_320_length_19001_cov_6.423889	19001	9.60315	9.60315	11.6273	bin.001	56							Bacteria?					
320	NODE_321_length_18996_cov_6.822977	18996	9.92609	9.92609	11.5916	bin.001	59							Bacteria?					
321	NODE_322_length_18963_cov_5.015126	18963	7.69819	7.69819	9.73884	bin.001	58							Bacteria?					
324	NODE_325_length_18831_cov_5.821687	18831	8.84846	8.84846	10.389	bin.001	59							Bacteria?					
325	NODE_326_length_18831_cov_4.860673	18831	7.47931	7.47931	12.2179	bin.001	60							Bacteria?					
326	NODE_327_length_18760_cov_4.820262	18760	7.18786	7.18786	9.84541	bin.001	61							Bacteria?					
327	NODE_328_length_18737_cov_6.073333	18737	9.02825	9.02825	11.7327	bin.001	58							Bacteria?					
328	NODE_329_length_18711_cov_4.834584	18711	7.35354	7.35354	10.2548	bin.001	58							Bacteria?					
329	NODE_330_length_18693_cov_4.639929	18693	7.07356	7.07356	9.71261	bin.001	62							Bacteria?					
330	NODE_331_length_18680_cov_6.597691	18680	10.0154	10.0154	11.9875	bin.001	57							Bacteria?					
331	NODE_332_length_18649_cov_4.974669	18649	7.69539	7.69539	9.68585	bin.001	59							Bacteria?					
332	NODE_333_length_18606_cov_4.763463	18606	7.21884	7.21884	8.15962	bin.001	62							Bacteria?					
333	NODE_334_length_18595_cov_5.291424	18595	8.05991	8.05991	9.67659	bin.001	61							Bacteria?					
334	NODE_335_length_18584_cov_6.386745	18584	9.62168	9.62168	13.3064	bin.001	60							Bacteria?					
335	NODE_336_length_18578_cov_4.780489	18578	7.24718	7.24718	9.37976	bin.001	60							Bacteria?					
336	NODE_337_length_18557_cov_4.171765	18557	6.58836	6.58836	8.53591	bin.001	60							Bacteria?					
337	NODE_338_length_18528_cov_4.428842	18528	6.98569	6.98569	7.88716	bin.001	60							Bacteria?					
338	NODE_339_length_18501_cov_6.895045	18501	9.59855	9.59855	19.5906	bin.001	57							Bacteria?					
340	NODE_341_length_18472_cov_4.390346	18472	6.72383	6.72383	8.6139	bin.001	61							Bacteria?					
343	NODE_344_length_18324_cov_6.274673	18324	9.48432	9.48432	9.94094	bin.001	56							Bacteria?					
344	NODE_345_length_18317_cov_4.969226	18317	7.53493	7.53493	7.15927	bin.001	55							Bacteria?					
346	NODE_347_length_18298_cov_6.164118	18298	9.22829	9.22829	11.7961	bin.001	61							Bacteria?					
348	NODE_349_length_18181_cov_5.541874	18181	8.36504	8.36504	9.89903	bin.001	58							Bacteria?					
351	NODE_352_length_18073_cov_5.849484	18073	8.76672	8.76672	8.28951	bin.001	62	bin.001	1.0	0.073	0.22	0.207	1.0	dsDNAphage	17940.0	4.0	70.6	0.0	|full
352	NODE_353_length_18064_cov_6.206730	18064	9.23317	9.23317	9.93493	bin.001	59							Bacteria?					
354	NODE_355_length_18033_cov_5.692847	18033	8.41039	8.41039	10.0807	bin.001	60							Bacteria?					
356	NODE_357_length_18008_cov_6.013647	18008	8.69078	8.69078	11.0503	bin.001	61							Bacteria?					
