"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__PLZL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","15.07","0.9136881456","-"
"bin.002.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__RBG-16-66-20;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_001770285.1, s__RBG-16-66-20 sp001...","18.21","0.949272037","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.006.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__JABEUT01;s__","-","-","-","-","-","GCA_013288205.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__JABEUT01;s__JABEUT01 sp013288205","82.99","0.59","taxonomic classification defined by topology and ANI","-","GCA_903916255.1, s__JABEUT01 sp9039162...","33.02","0.9743941961","-"
"bin.007.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","33.19","0.8295568017","Genome has more than 19.2% of markers with multiple hits"
"bin.010.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","23.13","0.8712180827","Genome has more than 32.5% of markers with multiple hits"
"bin.012.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__","-","-","-","-","-","GCF_001584185.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__Collimonas pratensis","93.55","0.88","taxonomic classification defined by topology and ANI","-","GCF_002564105.1, s__Collimonas sp00256...","67.06","0.9980756065","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.013.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA6065;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.52","0.8282038453","-"
"bin.014.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__","-","-","-","-","-","GCA_903891325.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__CAITEC01 sp903891325","76.87","0.21","taxonomic classification defined by topology and ANI","-","-","73.48","0.947813147","-"
"bin.015.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Palsa-89;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003166865.1, s__Palsa-89 sp0031668...","81","0.9150536767","-"
"bin.018.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Lustribacter;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","15.6","0.915247814","-"
"bin.020.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","93.15","0.9246063052","-"
"bin.021.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__PMNU01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","61.92","0.8791344963","-"
"bin.022.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","38.87","0.9224627543","-"
"bin.023.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","42.35","0.8965117348","-"
"bin.024.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__","-","-","-","-","-","GCA_003165495.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003165495","77.73","0.3","taxonomic classification defined by topology and ANI","-","GCA_003134045.1, s__Bog-1198 sp0031340...","32.82","0.9646470585","-"
"bin.025.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__","-","-","-","-","-","GCA_003167515.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__Palsa-343 sp003167515","78.4","0.36","taxonomic classification defined by topology and ANI","-","GCA_003166955.1, s__Palsa-343 sp003166...","11.24","0.9811914378","-"
"bin.026.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__2-02-FULL-43-16;s__","-","-","-","-","-","GCA_001821935.1","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__2-02-FULL-43-16;s__2-02-FULL-43-16 sp001821935","76.86","0.32","taxonomic classification defined by topology and ANI","-","-","20.05","0.9211929653","-"
"bin.027.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__JABDFI01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","46.02","0.8568054567","-"
"bin.029.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__","-","-","-","-","-","GCA_003133385.1","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__UBA5150 sp003133385","78.12","0.25","taxonomic classification defined by topology and ANI","-","-","55.73","0.9647332491","-"
"bin.030.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__","-","-","-","-","-","GCA_013289065.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp013289065","88.5","0.65","taxonomic classification defined by topology and ANI","-","GCF_009939005.1, s__Sediminibacterium ...","79.31","0.989994833","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.031.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","21.64","0.8119418554","-"
