"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.003.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__O2-02-FULL-48-8;g__2-01-FULL-45-18;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","51.76","0.8735670615","-"
"bin.004.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__PALSA-1444;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","71.99","0.9108763446","-"
"bin.005.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__PALSA-1336;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","67.56","0.9145620222","-"
"bin.006.fa","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__UBA10449;s__","-","-","-","-","-","GCA_003446775.1","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__UBA10449;s__UBA10449 sp003446775","84.67","0.62","taxonomic classification defined by topology and ANI","-","GCA_005879945.1, s__UBA10449 sp0058799...","34.21","0.9767403319","-"
"bin.007.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__","-","-","-","-","-","GCF_002564105.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__Collimonas sp002564105","94.3","0.93","taxonomic classification defined by topology and ANI","-","GCF_001584185.1, s__Collimonas pratens...","31.07","0.9979102756","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.008.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__PJMG01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","59.86","0.8743537188","-"
"bin.009.fa","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__","-","-","-","-","-","GCA_003220345.1","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__AR37 sp003220345","78.92","0.43","taxonomic classification defined by topology and ANI","-","-","74.57","0.8746335508","-"
"bin.012.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.44","0.8755625385","-"
"bin.014.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","33.37","0.7925224821","-"
"bin.016.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__","-","-","-","-","-","GCA_003135585.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__Puia sp003135585","83.05","0.64","taxonomic classification defined by topology and ANI","-","-","22.43","0.9739389039","-"
"bin.017.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__","-","-","-","-","-","GCA_003132085.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__PKWO01 sp003132085","78.95","0.34","taxonomic classification defined by topology and ANI","-","-","34.03","0.9635301466","Genome has more than 44.2% of markers with multiple hits"
"bin.018.fa","d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","55.71","0.8104146741","-"
"bin.019.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__PPGL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.04","0.898235396","-"
"bin.020.fa","d__Bacteria;p__FCPU426;c__Palsa-1180;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","29.28","0.4352002197","-"
"bin.021.fa","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__Gp7-AA10;s__","-","-","-","-","-","GCA_003222375.1","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__Gp7-AA10;s__Gp7-AA10 sp003222375","81.25","0.61","taxonomic classification defined by topology and ANI","-","GCA_003223695.1, s__Gp7-AA10 sp0032236...","33.61","0.955506896","-"
"bin.022.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__JABWAM01;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","38.97","0.6457634667","-"
