	locus_tag	ftype	length_bp	gene	EC_number	COG	product	COG_category_ID	COG_name	COG_Gene	COG_pathway	PubMed_ID	PDB_ID	Hexadecimal	COG_category_desc
0	FGCHFFMF_00001	CDS	6633				hypothetical protein								
1	FGCHFFMF_00002	CDS	1227				hypothetical protein								
2	FGCHFFMF_00003	CDS	1191	ynfM			Inner membrane transport protein YnfM								
3	FGCHFFMF_00004	CDS	1506	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC								
4	FGCHFFMF_00005	CDS	2469	csxA	3.2.1.165	COG3250	Exo-beta-D-glucosaminidase	G	Beta-galactosidase/beta-glucuronidase	LacZ		19291314	5N6U	CCFCFC	Carbohydrate transport and metabolism
5	FGCHFFMF_00006	CDS	285				hypothetical protein								
6	FGCHFFMF_00007	CDS	261				hypothetical protein								
7	FGCHFFMF_00008	CDS	303	relE2		COG3668	Toxin RelE2	X	Plasmid stabilization system protein ParE	ParE			3KXE	9CFC9C	Mobilome: prophages, transposons
8	FGCHFFMF_00009	CDS	3594				hypothetical protein								
9	FGCHFFMF_00010	CDS	255				hypothetical protein								
10	FGCHFFMF_00011	CDS	1977	feoB		COG0370	Fe(2+) transporter FeoB	P	Fe2+ transporter FeoB	FeoB		32095817	3TAH	CCCCFC	Inorganic ion transport and metabolism
11	FGCHFFMF_00012	CDS	147				hypothetical protein								
12	FGCHFFMF_00013	CDS	2154	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase	G	Glucan phosphorylase	GlgP			1A8I	CCFCFC	Carbohydrate transport and metabolism
13	FGCHFFMF_00014	CDS	3987				hypothetical protein								
14	FGCHFFMF_00015	CDS	1194				hypothetical protein								
15	FGCHFFMF_00016	CDS	636				hypothetical protein								
16	FGCHFFMF_00017	CDS	1002	rbsR		COG1609	Ribose operon repressor	K	DNA-binding transcriptional regulator, LacI/PurR family	PurR			1BDH	FCDCEC	Transcription
17	FGCHFFMF_00018	CDS	1470				hypothetical protein								
18	FGCHFFMF_00019	tRNA	84				tRNA-Leu(tag)								
19	FGCHFFMF_00020	CDS	1095	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase								
20	FGCHFFMF_00021	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor	O	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	Tig			5OWI	9CFCAC	Posttranslational modification, protein turnover, chaperones
21	FGCHFFMF_00022	CDS	600	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit	O	ATP-dependent protease ClpP, protease subunit	ClpP			1TG6	9CFCAC	Posttranslational modification, protein turnover, chaperones
22	FGCHFFMF_00023	CDS	1266	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX	O	ATP-dependent protease Clp, ATPase subunit ClpX	ClpX			3HTE	9CFCAC	Posttranslational modification, protein turnover, chaperones
23	FGCHFFMF_00024	CDS	2439	lon	3.4.21.53	COG0466	Lon protease	O	ATP-dependent Lon protease, bacterial type	Lon			6ON2	9CFCAC	Posttranslational modification, protein turnover, chaperones
24	FGCHFFMF_00025	CDS	621	engB			GTP-binding protein EngB								
25	FGCHFFMF_00026	CDS	1218				hypothetical protein								
26	FGCHFFMF_00027	CDS	642	rex_1		COG2344	Redox-sensing transcriptional repressor Rex	K	NADH/NAD ratio-sensing transcriptional regulator Rex	Rex		23490197	3KEO	FCDCEC	Transcription
27	FGCHFFMF_00028	CDS	2673	adhE		COG1012	Aldehyde-alcohol dehydrogenase	I	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AdhE	Proline degradation		1A4S	DCCCFC	Lipid transport and metabolism
