	seqname	contigLen	totalAvgDepth	111f2644-870d-4a95-ab44-101be3f522ca.inter.fastq.sam.sorted.bam	111f2644-870d-4a95-ab44-101be3f522ca.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
706	NODE_707_length_36722_cov_4.785938	36722	7.44075	7.44075	9.85221	bin.001	55.0							Bacteria?					
724	NODE_725_length_36313_cov_5.178554	36313	7.84033	7.84033	8.39907	bin.001	54.0							Bacteria?					
773	NODE_774_length_35148_cov_5.320206	35148	8.31536	8.31536	11.3832	bin.001	55.0							Bacteria?					
1033	NODE_1034_length_30184_cov_5.292077	30184	8.01838	8.01838	10.4709	bin.001	53.0							Bacteria?					
1232	NODE_1233_length_27240_cov_6.362148	27240	9.42089	9.42089	12.7102	bin.001	55.0							Bacteria?					
1236	NODE_1237_length_27218_cov_4.741523	27218	7.37384	7.37384	8.23522	bin.001	51.0							Bacteria?					
1243	NODE_1244_length_27164_cov_5.482792	27164	8.50455	8.50455	10.1311	bin.001	56.0							Bacteria?					
1327	NODE_1328_length_26176_cov_4.345661	26176	6.81799	6.81799	8.52722	bin.001	56.0							Bacteria?					
1538	NODE_1539_length_24089_cov_5.398477	24089	8.18497	8.18497	9.81058	bin.001	54.0							Bacteria?					
1646	NODE_1647_length_23145_cov_5.204071	23145	8.01522	8.01522	9.92065	bin.001	52.0							Bacteria?					
1648	NODE_1649_length_23132_cov_5.141136	23132	7.94487	7.94487	8.74764	bin.001	56.0							Bacteria?					
1669	NODE_1670_length_23015_cov_5.508841	23015	8.65611	8.65611	8.88431	bin.001	52.0							Bacteria?					
1683	NODE_1684_length_22958_cov_4.247609	22958	6.69888	6.69888	7.4645	bin.001	56.0							Bacteria?					
1694	NODE_1695_length_22879_cov_4.962320	22879	7.64772	7.64772	9.13503	bin.001	55.0							Bacteria?					
1797	NODE_1798_length_22144_cov_4.938793	22144	7.66991	7.66991	7.35425	bin.001	55.0							Bacteria?					
1814	NODE_1815_length_22010_cov_4.569164	22010	7.06331	7.06331	8.29289	bin.001	55.0							Bacteria?					
1917	NODE_1918_length_21378_cov_4.685973	21378	7.26173	7.26173	8.31671	bin.001	55.0							Bacteria?					
2051	NODE_2052_length_20594_cov_5.904913	20594	8.58844	8.58844	12.3159	bin.001	54.0							Bacteria?					
2078	NODE_2079_length_20416_cov_5.106134	20416	7.97044	7.97044	10.2971	bin.001	55.0							Bacteria?					
2090	NODE_2091_length_20312_cov_4.954041	20312	7.82943	7.82943	9.60634	bin.001	56.0							Bacteria?					
2167	NODE_2168_length_19850_cov_4.876484	19850	7.60589	7.60589	10.5943	bin.001	57.0							Bacteria?					
2194	NODE_2195_length_19682_cov_4.436338	19682	6.99078	6.99078	7.11416	bin.001	50.0							Bacteria?					
2307	NODE_2308_length_19178_cov_4.342886	19178	6.75215	6.75215	6.08012	bin.001	51.0							Bacteria?					
2512	NODE_2513_length_18247_cov_4.724494	18247	7.31718	7.31718	7.84108	bin.001	56.0							Bacteria?					
2520	NODE_2521_length_18220_cov_4.544233	18220	7.14139	7.14139	8.62129	bin.001	54.0							Bacteria?					
2572	NODE_2573_length_18040_cov_5.257103	18040	7.79983	7.79983	11.7476	bin.001	59.0							Bacteria?					
2578	NODE_2579_length_18001_cov_5.213084	18001	8.1522	8.1522	8.87664	bin.001	54.0							Bacteria?					
2656	NODE_2657_length_17704_cov_4.621678	17704	6.97579	6.97579	7.28714	bin.001	55.0							Bacteria?					
2739	NODE_2740_length_17357_cov_5.640793	17357	8.62777	8.62777	9.72579	bin.001	56.0							Bacteria?					
2807	NODE_2808_length_17137_cov_4.374780	17137	6.88909	6.88909	8.13119	bin.001	55.0							Bacteria?					
2853	NODE_2854_length_16966_cov_5.307729	16966	8.28984	8.28984	8.94533	bin.001	56.0							Bacteria?					
2983	NODE_2984_length_16492_cov_5.026951	16492	7.74648	7.74648	7.3702	bin.001	52.0							Bacteria?					
3001	NODE_3002_length_16438_cov_4.802234	16438	7.2139	7.2139	6.983	bin.001	57.0							Bacteria?					
3063	NODE_3064_length_16245_cov_4.919580	16245	7.70966	7.70966	7.98978	bin.001	55.0							Bacteria?					
3111	NODE_3112_length_16105_cov_5.078941	16105	7.83146	7.83146	9.25347	bin.001	57.0							Bacteria?					
3205	NODE_3206_length_15821_cov_4.801281	15821	7.5269	7.5269	8.72529	bin.001	55.0							Bacteria?					
