bin	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5	Completeness	Contamination	user_genome	Domain	Phylum	Class	Order	Family	Genus	Species	bin_length	bin_%GC	contig_count	min_contig_length
bin.048	k__Archaea	207	149	107	26	121	2	0	0	0	78.97	1.87	id47	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1010733	52	4	2.5k
bin.444	k__Archaea	207	149	107	28	120	1	0	0	0	78.66	0.93	id443	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1022201	49	14	2.5k
bin.004	k__Archaea	207	149	107	28	120	1	0	0	0	78.66	0.93	id3	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1011851	49	12	10k
bin.043	k__Archaea	207	149	107	26	121	2	0	0	0	78.97	1.87	id42	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1010733	52	4	10k
bin.267	p__Euryarchaeota	148	188	125	10	176	2	0	0	0	94	0.8	id266	Archaea	Thermoplasmatota	E2	UBA9212				1952219	71	74	2.5k
bin.304	p__Euryarchaeota	148	188	125	18	168	0	2	0	0	90.8	1.6	id303	Archaea	Thermoplasmatota	E2	UBA9212				2018583	71	58	10k
bin.057	k__Bacteria	5449	104	58	75	28	1	0	0	0	39.54	0.86	id56	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidisarcina		2570935	58	334	2.5k
bin.222	k__Bacteria	5449	104	58	90	14	0	0	0	0	22.41	0	id221	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium_A	Acidobacterium_A sp013285705	2097639	55	135	10k
bin.150	k__Bacteria	5449	104	58	77	26	1	0	0	0	43.1	1.72	id149	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium_A		4754995	56	495	2.5k
bin.264	k__Bacteria	5449	104	58	70	34	0	0	0	0	35.42	0	id263	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium_A		1560264	55	191	2.5k
bin.163	k__Bacteria	5449	104	58	92	12	0	0	0	0	7.52	0	id162	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium_A		608565	55	46	10k
bin.157	k__Bacteria	5449	104	58	62	42	0	0	0	0	53.17	0	id156	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		3811692	59	363	2.5k
bin.162	k__Bacteria	5449	104	58	86	18	0	0	0	0	20.34	0	id161	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		1161516	60	153	2.5k
bin.212	k__Bacteria	5449	104	58	93	11	0	0	0	0	13.1	0	id211	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		1299220	58	162	2.5k
bin.404	k__Bacteria	2258	187	116	68	116	3	0	0	0	79.26	2.16	id403	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		3816702	59	196	2.5k
bin.134	k__Bacteria	2258	187	116	70	116	1	0	0	0	69.08	0.86	id133	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		3445856	59	138	10k
bin.287	k__Bacteria	5449	104	58	84	20	0	0	0	0	32.76	0	id286	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		2343176	59	153	10k
bin.047	k__Bacteria	2258	187	116	48	129	10	0	0	0	93.75	6.9	id46	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		5015270	57	98	2.5k
bin.468	k__Bacteria	2258	187	116	40	129	18	0	0	0	80.93	5.74	id467	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		6097229	58	352	2.5k
bin.034	k__Bacteria	2258	187	116	60	119	8	0	0	0	64.99	2.78	id33	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		4979772	58	201	10k
bin.101	k__Bacteria	2258	187	116	48	131	8	0	0	0	93.75	5.17	id100	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		5046363	57	87	10k
bin.149	k__Bacteria	2258	187	116	155	32	0	0	0	0	11.57	0	id148	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83		573287	60	86	2.5k
bin.040	k__Bacteria	2258	187	116	123	64	0	0	0	0	23.75	0	id39	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		1528918	61	197	2.5k
bin.074	k__Bacteria	5449	104	58	84	20	0	0	0	0	29.66	0	id73	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		1381137	59	184	2.5k
bin.097	k__Bacteria	5449	104	58	95	9	0	0	0	0	11.21	0	id96	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		1313911	61	180	2.5k
bin.194	root	5656	56	24	53	3	0	0	0	0	12.5	0	id193	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		2402453	61	304	2.5k
bin.124	k__Bacteria	5449	104	58	13	64	27	0	0	0	84.87	15.18	id123	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium	Silvibacterium sp013289875	5774631	58	475	2.5k
