"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__","-","-","-","-","-","GCA_005884825.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__AP-15 sp005884825","78.7","0.34","taxonomic classification defined by topology and ANI","-","GCA_005888515.1, s__AP-15 sp005888515,...","59.24","0.9325268202","-"
"bin.002.fa","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__","-","-","-","-","-","GCA_003220345.1","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__AR37 sp003220345","78.92","0.43","taxonomic classification defined by topology and ANI","-","-","74.57","0.8746335508","-"
"bin.003.fa","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","GCA_005887945.1","95","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","95.19","0.76","GCA_005887945.1","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","95.19","0.76","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_005877535.1, s__Palsa-1315 sp00587...","89.82","-","-"
"bin.004.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.06","0.7752498028","-"
"bin.005.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__PALSA-1444;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","71.99","0.9108763446","-"
"bin.006.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003136935.1, s__13-2-20CM-66-19 sp...","79.55","0.9727107885","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.007.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","24.82","0.8743099833","-"
"bin.008.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__C7867-001;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","58.19","0.9009070132","-"
"bin.009.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003219415.1, s__Udaeobacter sp0032...","83.18","0.9803665889","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.010.fa","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SHZT01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.15","0.8651071082","-"
"bin.011.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","85.92","0.821097758","-"
"bin.012.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA11359_C;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","39.49","0.8034193525","-"
"bin.013.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__PPGL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.04","0.898235396","-"
"bin.014.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-965;g__Palsa-965;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","88.7","0.9106506331","-"
"bin.015.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","49.87","0.8291521524","-"
"bin.016.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_013288235.1, s__Mucilaginibacter s...","93.96","0.9643853544","-"
"bin.017.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__AP-16;s__","-","-","-","-","-","GCA_005884745.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__AP-16;s__AP-16 sp005884745","78.34","0.29","taxonomic classification defined by topology and ANI","-","-","41.02","0.9427387226","Genome has more than 24.2% of markers with multiple hits"
