"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_013289695.1, s__Palsa-295 sp013289...","51.1","0.9742555283","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.002.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__PMNU01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","61.92","0.8791345223","-"
"bin.003.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","93.15","0.9246063052","-"
"bin.004.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_013285645.1, s__JABDGH01 sp0132856...","53.15","0.9334421123","-"
"bin.005.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA10103;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","70.38","0.9212371729","-"
"bin.006.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.84","0.8749353799","-"
"bin.007.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__","-","-","-","-","-","GCA_903875345.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345","76.98","0.24","taxonomic classification defined by topology and ANI","-","-","93.21","0.8923920419","-"
"bin.008.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA6065;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.52","0.8282038453","-"
"bin.009.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","64.05","0.8813385066","-"
"bin.010.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","72.19","0.9226282928","-"
"bin.011.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003166955.1, s__Palsa-343 sp003166...","56.2","0.9373018021","Genome has more than 12.5% of markers with multiple hits"
"bin.012.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__","-","-","-","-","-","GCA_903891325.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__CAITEC01 sp903891325","76.87","0.21","taxonomic classification defined by topology and ANI","-","-","73.48","0.947813147","-"
"bin.013.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA10103;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","67.82","0.9106321677","-"
"bin.014.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","66.81","0.8831561484","-"
"bin.015.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.62","0.881925002","-"
"bin.016.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003134045.1, s__Bog-1198 sp0031340...","69.09","0.9494544054","-"
"bin.018.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__1-14-0-10-45-20;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","64.74","0.9108372172","-"
"bin.019.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__GWA1-54-10;s__","-","-","-","-","-","GCA_903824155.1","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__GWA1-54-10;s__GWA1-54-10 sp903824155","79.39","0.41","taxonomic classification defined by topology and ANI","-","-","64.44","0.9659178081","-"
"bin.020.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__PALSA-1337;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","56.22","0.9206616136","-"
"bin.021.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","GCA_003133815.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815","83.36","0.54","taxonomic classification defined by topology and ANI","-","GCA_003455565.1, s__UBA11358 sp0034555...","87.1","0.955699739","-"
"bin.022.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__C7867-001;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","59.26","0.906350063","-"
"bin.023.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","55.61","0.8817334544","-"
"bin.024.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__CAIPFQ01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","57.53","0.9328072355","-"
"bin.025.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.74","0.8775267191","-"
"bin.026.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Palsa-89;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003166865.1, s__Palsa-89 sp0031668...","84.71","0.9145639671","-"
"bin.027.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCIW01;s__","-","-","-","-","-","GCA_903970455.1","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCIW01;s__CAJCIW01 sp903970455","77.4","0.22","taxonomic classification defined by topology and ANI","-","-","76.97","0.9126603803","-"
"bin.028.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__","-","-","-","-","-","GCA_013289065.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp013289065","88.45","0.66","taxonomic classification defined by topology and ANI","-","GCF_009939005.1, s__Sediminibacterium ...","84.95","0.9900599398","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.029.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__","-","-","-","-","-","GCA_003140665.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447 sp003140665","79.77","0.43","taxonomic classification defined by topology and ANI","-","GCA_003164715.1, s__Palsa-1447 sp00316...","69.15","0.971925732","-"
"bin.030.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","40.16","0.8825132619","-"
"bin.031.fa","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__","-","-","-","-","-","GCA_903910555.1","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__Fen-1231 sp903910555","81.09","0.54","taxonomic classification defined by topology and ANI","-","GCA_003171215.1, s__Fen-1231 sp0031712...","62.26","0.9788712603","-"
"bin.032.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","56.84","0.7228009514","-"
"bin.033.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","64.52","0.8113623354","-"
"bin.034.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","64.07","0.9172580477","-"
"bin.035.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA10103;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","68.81","0.9098010894","-"
"bin.036.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","53.6","0.884443039","-"
"bin.037.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_005878835.1, s__13-2-20CM-66-19 sp...","65.06","0.9419346947","-"
"bin.038.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","60.55","0.8679336092","-"
"bin.039.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__JABDGC01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","42.19","0.9157674106","-"
"bin.040.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__PMNU01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","61.86","0.8720504306","-"
"bin.041.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__VMFF01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","76","0.7803732484","-"
"bin.042.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__PALSA-1336;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","53.52","0.9133233159","-"
"bin.043.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","37.66","0.9391791941","Genome has more than 22.5% of markers with multiple hits"
"bin.044.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","49.83","0.8834464851","-"
"bin.045.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","58.27","0.882851986","-"
"bin.046.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__","-","-","-","-","-","GCA_003133385.1","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__UBA5150 sp003133385","78.12","0.25","taxonomic classification defined by topology and ANI","-","-","55.73","0.9647332491","-"
"bin.047.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","69.23","0.8792477876","-"
"bin.017.fa","d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__UBA12276;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-",65.65,0.8396037176,"-"
