Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.001	k__Bacteria	88	230	148	73	143	13	1	0	0	78.46	9.01
bin.002	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.003	k__Bacteria	5449	104	58	83	18	3	0	0	0	28.51	4.31
bin.004	k__Archaea	207	149	107	144	5	0	0	0	0	0.36	0.0
bin.005	k__Archaea	207	149	107	136	13	0	0	0	0	1.73	0.0
bin.006	k__Bacteria	5449	104	58	61	43	0	0	0	0	59.64	0.0
bin.007	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.008	k__Archaea	207	149	107	83	56	8	1	1	0	35.6	2.52
bin.009	k__Bacteria	5449	104	58	63	40	1	0	0	0	59.77	1.72
bin.010	k__Archaea	207	149	107	138	11	0	0	0	0	6.07	0.0
bin.011	c__Deltaproteobacteria	83	247	155	31	202	13	0	1	0	87.04	5.73
bin.012	k__Bacteria	5449	104	58	98	6	0	0	0	0	6.02	0.0
bin.013	k__Bacteria	5449	104	58	70	31	3	0	0	0	42.87	4.31
bin.014	k__Bacteria	5449	100	55	80	17	3	0	0	0	30.0	2.73
bin.015	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.016	k__Bacteria	5449	104	58	98	6	0	0	0	0	8.62	0.0
bin.017	k__Bacteria	88	227	146	166	61	0	0	0	0	27.72	0.0
bin.018	k__Bacteria	5449	104	58	23	61	19	1	0	0	82.45	14.36
bin.019	o__Rhodospirillales	63	336	201	83	249	4	0	0	0	85.5	1.14
bin.020	k__Bacteria	88	230	148	41	148	39	2	0	0	91.12	21.04
bin.021	o__Rhizobiales	92	481	319	208	259	14	0	0	0	58.87	2.68
bin.022	k__Bacteria	5449	104	58	86	15	3	0	0	0	26.72	5.17
bin.023	k__Bacteria	5449	104	58	0	7	7	5	4	81	100.0	1564.98
bin.024	k__Bacteria	5449	104	58	104	0	0	0	0	0	0.0	0.0
bin.025	k__Bacteria	5449	104	58	70	31	3	0	0	0	48.04	5.17
bin.026	c__Gammaproteobacteria	1097	270	172	44	222	4	0	0	0	93.74	0.87
bin.027	k__Bacteria	5449	104	58	81	22	1	0	0	0	37.93	1.72
bin.028	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.029	k__Bacteria	5449	104	58	73	31	0	0	0	0	43.1	0.0
bin.030	k__Bacteria	2258	188	117	43	50	78	13	4	0	90.78	73.37
bin.031	k__Bacteria	5449	104	58	81	20	3	0	0	0	35.5	5.17
bin.032	k__Bacteria	5449	104	58	32	71	1	0	0	0	72.23	1.72
bin.033	k__Bacteria	5449	104	58	82	22	0	0	0	0	19.67	0.0
bin.034	k__Bacteria	2258	187	116	35	144	8	0	0	0	84.22	6.11
bin.035	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.036	k__Bacteria	5449	104	58	70	33	1	0	0	0	53.45	1.72
bin.037	k__Bacteria	5449	104	58	91	13	0	0	0	0	21.55	0.0
bin.038	root	5656	56	24	55	1	0	0	0	0	4.17	0.0
bin.039	k__Bacteria	2258	187	116	54	105	28	0	0	0	88.72	20.74
bin.040	c__Deltaproteobacteria	83	247	155	27	210	8	2	0	0	90.5	6.64
bin.041	k__Bacteria	5449	104	58	96	8	0	0	0	0	6.36	0.0
bin.042	k__Bacteria	5449	104	58	85	19	0	0	0	0	26.18	0.0
bin.043	k__Bacteria	5449	104	58	56	48	0	0	0	0	69.75	0.0
bin.044	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.045	k__Bacteria	2258	187	116	100	86	1	0	0	0	53.43	0.05
bin.046	k__Bacteria	5449	104	58	67	37	0	0	0	0	50.17	0.0
bin.047	p__Bacteroidetes	350	316	210	39	45	88	104	35	5	94.13	153.15
bin.048	k__Bacteria	5449	104	58	64	33	7	0	0	0	58.93	10.34
bin.049	k__Archaea	207	149	107	119	26	2	2	0	0	14.26	2.8
bin.050	root	5656	56	24	51	2	3	0	0	0	20.83	12.5
bin.051	k__Bacteria	924	161	108	89	71	1	0	0	0	43.77	0.93
bin.052	k__Bacteria	5449	104	58	18	24	28	30	4	0	94.72	142.31
