"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.001.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","GCF_009295505.1","95","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","99.2","0.95","GCF_009295505.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","99.2","0.95","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_002951615.1, s__Rahnella sp0029516...","84.14","-","-"
"bin.003.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","25.39","0.8363366109","-"
"bin.005.fa","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Sporomusales;f__Acetonemaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","79.53","0.7400533585","-"
"bin.006.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","GCA_003133815.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815","82.89","0.57","taxonomic classification defined by topology and ANI","-","GCA_003139955.1, s__UBA11358 sp0031399...","65.59","0.9568328465","-"
"bin.007.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","66.57","0.8834816089","-"
"bin.008.fa","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","93.21","0.8171843735","-"
"bin.010.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","89.5","0.9249754435","-"
"bin.012.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235","GCF_002814235.1","95","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235","97.54","0.91","GCF_002814235.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235","97.54","0.91","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_013385425.1, s__Pseudomonas_E ging...","82.71","-","-"
"bin.016.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__","-","-","-","-","-","GCF_005217455.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455","79.24","0.38","taxonomic classification defined by topology and ANI","-","GCF_004346745.1, s__BGMRC-2031 sp00434...","68.95","0.957664984","-"
"bin.017.fa","d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Neobacillus;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","94.28","0.8428571747","-"
"bin.018.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_900141745.1, s__Paraburkholderia p...","22.47","0.9871340462","Genome has more than 15.0% of markers with multiple hits"
