	seqname	contigLen	totalAvgDepth	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
2087	NODE_2087_length_33473_cov_4.492639	33473.0	7.14362	7.14362	9.52495	bin.001	53.0							Bacteria?					
2527	NODE_2527_length_29460_cov_4.652678	29460.0	7.36025	7.36025	8.3894	bin.001	52.0	bin.001	0.38	0.0	0.233	0.513	0.513	NCLDV	26328.0	0.0	36.7	20.0	|full
2652	NODE_2652_length_28447_cov_4.223091	28447.0	6.67753	6.67753	8.35157	bin.001	54.0							Bacteria?					
2796	NODE_2796_length_27635_cov_4.360769	27635.0	6.91901	6.91901	6.94632	bin.001	52.0							Bacteria?					
3253	NODE_3253_length_24989_cov_4.623767	24989.0	7.2668	7.2668	8.93058	bin.001	51.0							Bacteria?					
3352	NODE_3352_length_24552_cov_4.608360	24552.0	7.30075	7.30075	9.85418	bin.001	53.0							Bacteria?					
3513	NODE_3513_length_23793_cov_4.390176	23793.0	6.9484	6.9484	8.00131	bin.001	53.0							Bacteria?					
3773	NODE_3773_length_22554_cov_4.879061	22554.0	7.72956	7.72956	8.81489	bin.001	52.0							Bacteria?					
4350	NODE_4350_length_20537_cov_4.577678	20537.0	7.19537	7.19537	9.15752	bin.001	52.0	bin.001	0.107	0.0	0.08	0.68	0.68	NCLDV	20534.0	0.0	16.0	4.0	|full
4453	NODE_4453_length_20218_cov_4.510886	20218.0	7.1921	7.1921	7.41714	bin.001	54.0							Bacteria?					
5283	NODE_5283_length_17877_cov_4.454831	17877.0	7.0651	7.0651	7.99439	bin.001	52.0							Bacteria?					
5481	NODE_5481_length_17505_cov_4.014097	17505.0	6.3875	6.3875	6.08462	bin.001	53.0							Bacteria?					
5981	NODE_5981_length_16507_cov_4.463773	16507.0	7.10283	7.10283	10.1727	bin.001	51.0							Bacteria?					
6495	NODE_6495_length_15642_cov_4.963559	15642.0	7.88452	7.88452	8.92617	bin.001	51.0							Bacteria?					
6793	NODE_6793_length_15172_cov_4.650791	15172.0	7.34529	7.34529	8.98897	bin.001	52.0							Bacteria?					
6891	NODE_6891_length_15014_cov_4.813824	15014.0	7.61282	7.61282	9.5298	bin.001	50.0							Bacteria?					
7447	NODE_7447_length_14237_cov_4.576717	14237.0	7.2322	7.2322	8.28862	bin.001	53.0							Bacteria?					
7590	NODE_7590_length_14051_cov_4.574450	14051.0	7.1574	7.1574	9.01678	bin.001	52.0							Bacteria?					
8086	NODE_8086_length_13465_cov_4.342058	13465.0	6.84431	6.84431	8.52145	bin.001	52.0							Bacteria?					
8604	NODE_8604_length_12912_cov_4.079723	12912.0	6.4721	6.4721	10.2784	bin.001	52.0							Bacteria?					
8873	NODE_8873_length_12628_cov_4.228744	12628.0	6.72303	6.72303	10.3373	bin.001	52.0							Bacteria?					
9764	NODE_9764_length_11822_cov_4.809807	11822.0	7.70399	7.70399	7.97643	bin.001	55.0							Bacteria?					
9871	NODE_9871_length_11743_cov_4.413929	11743.0	7.00595	7.00595	7.37504	bin.001	52.0							Bacteria?					
10782	NODE_10782_length_11027_cov_4.446318	11027.0	7.00129	7.00129	6.3683	bin.001	54.0							Bacteria?					
15390	NODE_15390_length_8610_cov_4.913852	8610.0	7.86265	7.86265	11.192	bin.001	53.0							Bacteria?					
16226	NODE_16226_length_8311_cov_5.077641	8311.0	8.00404	8.00404	9.87858	bin.001	53.0							Bacteria?					
16247	NODE_16247_length_8303_cov_4.636033	8303.0	7.36526	7.36526	8.21985	bin.001	52.0							Bacteria?					
17235	NODE_17235_length_7970_cov_4.187113	7970.0	6.64067	6.64067	6.29324	bin.001	53.0							Bacteria?					
18470	NODE_18470_length_7618_cov_4.758429	7618.0	7.35886	7.35886	6.80487	bin.001	53.0							Bacteria?					
19160	NODE_19160_length_7438_cov_4.601788	7438.0	7.38337	7.38337	8.38569	bin.001	52.0							Bacteria?					
19537	NODE_19537_length_7342_cov_4.372581	7342.0	6.91755	6.91755	7.79176	bin.001	52.0							Bacteria?					
19892	NODE_19892_length_7254_cov_4.125017	7254.0	6.57686	6.57686	5.39351	bin.001	55.0							Bacteria?					
23034	NODE_23034_length_6582_cov_3.770798	6582.0	5.76446	5.76446	7.44887	bin.001	53.0	bin.001	0.213	0.053	0.46	0.8	0.8	NCLDV	6567.0	0.0	42.9	0.0	|full
24636	NODE_24636_length_6296_cov_5.433584	6296.0	8.39798	8.39798	9.57114	bin.001	50.0	bin.001	0.173	0.0	0.367	0.773	0.773	NCLDV	5736.0	0.0	28.6	14.3	|full
25929	NODE_25929_length_6075_cov_4.378738	6075.0	6.94447	6.94447	11.2966	bin.001	51.0							Bacteria?					
29275	NODE_29275_length_5586_cov_4.948472	5586.0	7.80684	7.80684	7.58116	bin.001	54.0							Bacteria?					
31405	NODE_31405_length_5339_cov_4.448524	5339.0	7.19021	7.19021	10.8573	bin.001	54.0							Bacteria?					
34224	NODE_34224_length_5040_cov_3.702508	5040.0	5.89427	5.89427	4.91961	bin.001	52.0	bin.001	0.987	0.22	0.82	0.9	0.987	dsDNAphage	4570.0	1.0	60.0	0.0	|full
6332	NODE_6332_length_15888_cov_3.682309	15888.0	5.83467	5.83467	6.61657	bin.002	52.0							Bacteria?					
7931	NODE_7931_length_13642_cov_3.745566	13642.0	5.97902	5.97902	5.95362	bin.002	51.0							Bacteria?					
9282	NODE_9282_length_12214_cov_3.690846	12214.0	5.41396	5.41396	4.795	bin.002	49.0							Bacteria?					
9899	NODE_9899_length_11720_cov_3.564681	11720.0	5.68124	5.68124	6.1867	bin.002	52.0							Bacteria?					
11238	NODE_11238_length_10709_cov_3.952975	10709.0	5.30903	5.30903	8.47592	bin.002	52.0	bin.002	0.093	0.0	0.18	0.7	0.7	NCLDV	10341.0	0.0	22.2	11.1	|full
11507	NODE_11507_length_10523_cov_3.572984	10523.0	5.68592	5.68592	6.63861	bin.002	52.0							Bacteria?					
13396	NODE_13396_length_9488_cov_3.873423	9488.0	6.10987	6.10987	6.45667	bin.002	51.0							Bacteria?					
15726	NODE_15726_length_8481_cov_3.712438	8481.0	5.88513	5.88513	7.31205	bin.002	49.0							Bacteria?					
16035	NODE_16035_length_8373_cov_3.579106	8373.0	5.72528	5.72528	6.16693	bin.002	52.0							Bacteria?					
17392	NODE_17392_length_7921_cov_3.583270	7921.0	5.57843	5.57843	6.83484	bin.002	51.0							Bacteria?					
17860	NODE_17860_length_7787_cov_4.404811	7787.0	5.74702	5.74702	5.1087	bin.002	52.0	bin.002	0.76	0.013	0.407	0.38	0.76	dsDNAphage	7784.0	0.0	37.5	12.5	|full
19095	NODE_19095_length_7452_cov_4.045829	7452.0	6.28526	6.28526	5.8309	bin.002	49.0	bin.002	0.127	0.0	0.2	0.567	0.567	NCLDV	7450.0	0.0	20.0	10.0	|full
19977	NODE_19977_length_7231_cov_3.403707	7231.0	5.39119	5.39119	7.34183	bin.002	50.0							Bacteria?					
20136	NODE_20136_length_7189_cov_3.430053	7189.0	5.2928	5.2928	5.71344	bin.002	52.0							Bacteria?					
20399	NODE_20399_length_7130_cov_4.028410	7130.0	6.37077	6.37077	7.08588	bin.002	53.0							Bacteria?					
21874	NODE_21874_length_6802_cov_3.186157	6802.0	4.94528	4.94528	7.03302	bin.002	51.0							Bacteria?					
22492	NODE_22492_length_6682_cov_3.609778	6682.0	5.77342	5.77342	4.14848	bin.002	52.0							Bacteria?					
22519	NODE_22519_length_6677_cov_3.562066	6677.0	5.68393	5.68393	5.9566	bin.002	50.0							Bacteria?					
22538	NODE_22538_length_6675_cov_2.946828	6675.0	4.77594	4.77594	4.21619	bin.002	53.0							Bacteria?					
23050	NODE_23050_length_6579_cov_3.664316	6579.0	5.82812	5.82812	5.75469	bin.002	52.0							Bacteria?					
24051	NODE_24051_length_6393_cov_3.330546	6393.0	5.31123	5.31123	4.14906	bin.002	51.0							Bacteria?					
24608	NODE_24608_length_6301_cov_2.963657	6301.0	4.77093	4.77093	3.90969	bin.002	49.0							Bacteria?					
25028	NODE_25028_length_6225_cov_3.998217	6225.0	6.3921	6.3921	7.38389	bin.002	51.0							Bacteria?					
26382	NODE_26382_length_6002_cov_3.717841	6002.0	5.89081	5.89081	6.24656	bin.002	51.0							Bacteria?					
27612	NODE_27612_length_5809_cov_2.711505	5809.0	4.16646	4.16646	4.29816	bin.002	52.0							Bacteria?					
27838	NODE_27838_length_5779_cov_3.271488	5779.0	5.27962	5.27962	5.42602	bin.002	50.0							Bacteria?					
29148	NODE_29148_length_5601_cov_3.450054	5601.0	5.52174	5.52174	5.24918	bin.002	51.0							Bacteria?					
30388	NODE_30388_length_5451_cov_4.260749	5451.0	5.95925	5.95925	5.83534	bin.002	53.0							Bacteria?					
31008	NODE_31008_length_5380_cov_3.198310	5380.0	5.07706	5.07706	4.58821	bin.002	52.0	bin.002	0.227	0.007	0.547	0.833	0.833	NCLDV	4987.0	0.0	20.0	0.0	|full
32091	NODE_32091_length_5260_cov_3.188857	5260.0	5.13816	5.13816	5.62775	bin.002	51.0							Bacteria?					
32307	NODE_32307_length_5235_cov_3.836293	5235.0	6.2234	6.2234	7.79941	bin.002	51.0	bin.002	0.427	0.053	0.827	0.927	0.927	NCLDV	5172.0	0.0	33.3	0.0	|full
32664	NODE_32664_length_5199_cov_3.936820	5199.0	5.79164	5.79164	4.45539	bin.002	50.0							Bacteria?					
34172	NODE_34172_length_5045_cov_3.723647	5045.0	5.95465	5.95465	4.995	bin.002	52.0	bin.002	0.553	0.307	0.74	0.293	0.74	lavidaviridae	4700.0	0.0	50.0	0.0	|full
1720	NODE_1720_length_37891_cov_4.263929	37891.0	6.84545	6.84545	8.20827	bin.003	61.0							Bacteria?					
2622	NODE_2622_length_28636_cov_4.383646	28636.0	6.99115	6.99115	8.26946	bin.003	64.0							Bacteria?					
3050	NODE_3050_length_26047_cov_4.091990	26047.0	6.5274	6.5274	8.46572	bin.003	61.0							Bacteria?					
3300	NODE_3300_length_24763_cov_3.452121	24763.0	5.91639	5.91639	6.60816	bin.003	64.0							Bacteria?					
3540	NODE_3540_length_23678_cov_3.741396	23678.0	6.46817	6.46817	8.69825	bin.003	63.0							Bacteria?					
3556	NODE_3556_length_23589_cov_4.021161	23589.0	6.36678	6.36678	6.85841	bin.003	62.0							Bacteria?					
3743	NODE_3743_length_22694_cov_4.242855	22694.0	6.81742	6.81742	7.21636	bin.003	62.0							Bacteria?					
3774	NODE_3774_length_22554_cov_4.372239	22554.0	6.8977	6.8977	6.96418	bin.003	65.0							Bacteria?					
3868	NODE_3868_length_22200_cov_4.457349	22200.0	7.1951	7.1951	8.4617	bin.003	66.0							Bacteria?					
4098	NODE_4098_length_21356_cov_3.954087	21356.0	6.2704	6.2704	7.58834	bin.003	61.0							Bacteria?					
4131	NODE_4131_length_21242_cov_4.021192	21242.0	6.94661	6.94661	10.3455	bin.003	64.0							Bacteria?					
4253	NODE_4253_length_20881_cov_4.040814	20881.0	6.41387	6.41387	7.43085	bin.003	61.0							Bacteria?					
4436	NODE_4436_length_20263_cov_4.228375	20263.0	6.77343	6.77343	8.41692	bin.003	63.0							Bacteria?					
4465	NODE_4465_length_20187_cov_3.848401	20187.0	6.10501	6.10501	6.68394	bin.003	62.0							Bacteria?					
4668	NODE_4668_length_19588_cov_3.542927	19588.0	5.60948	5.60948	5.7166	bin.003	62.0							Bacteria?					
4744	NODE_4744_length_19375_cov_5.302381	19375.0	7.73524	7.73524	13.9988	bin.003	62.0							Bacteria?					
4745	NODE_4745_length_19371_cov_3.954494	19371.0	6.22314	6.22314	6.30227	bin.003	64.0							Bacteria?					
5020	NODE_5020_length_18592_cov_4.164806	18592.0	6.44193	6.44193	5.96536	bin.003	62.0	bin.003	1.0	0.14	0.447	0.567	1.0	dsDNAphage	18584.0	1.0	62.5	0.0	|full
5046	NODE_5046_length_18523_cov_4.292235	18523.0	7.14777	7.14777	8.11515	bin.003	63.0							Bacteria?					
5060	NODE_5060_length_18493_cov_4.101367	18493.0	6.58616	6.58616	8.03089	bin.003	64.0							Bacteria?					
5131	NODE_5131_length_18294_cov_3.881134	18294.0	6.75452	6.75452	9.81073	bin.003	65.0							Bacteria?					
5191	NODE_5191_length_18101_cov_4.077413	18101.0	6.5105	6.5105	7.80024	bin.003	62.0							Bacteria?					
5649	NODE_5649_length_17124_cov_4.141309	17124.0	6.59862	6.59862	7.96249	bin.003	64.0							Bacteria?					
5669	NODE_5669_length_17093_cov_3.784306	17093.0	6.10116	6.10116	6.30606	bin.003	66.0							Bacteria?					
5690	NODE_5690_length_17058_cov_6.107040	17058.0	7.51857	7.51857	10.2215	bin.003	64.0							Bacteria?					
5744	NODE_5744_length_16947_cov_3.456133	16947.0	5.91868	5.91868	6.54651	bin.003	63.0							Bacteria?					
5775	NODE_5775_length_16894_cov_3.938239	16894.0	6.26959	6.26959	6.71501	bin.003	65.0							Bacteria?					
5809	NODE_5809_length_16825_cov_3.777579	16825.0	6.13799	6.13799	8.46344	bin.003	64.0							Bacteria?					
5821	NODE_5821_length_16801_cov_3.738087	16801.0	6.62405	6.62405	8.86594	bin.003	65.0							Bacteria?					
5823	NODE_5823_length_16798_cov_4.058711	16798.0	6.52703	6.52703	7.78899	bin.003	64.0							Bacteria?					
5971	NODE_5971_length_16524_cov_3.702653	16524.0	6.29223	6.29223	8.01416	bin.003	64.0							Bacteria?					
5999	NODE_5999_length_16473_cov_3.695456	16473.0	6.25406	6.25406	7.96431	bin.003	62.0							Bacteria?					
6116	NODE_6116_length_16271_cov_3.833436	16271.0	6.15675	6.15675	7.17159	bin.003	65.0							Bacteria?					
6169	NODE_6169_length_16170_cov_3.665467	16170.0	5.8872	5.8872	6.43688	bin.003	63.0							Bacteria?					
6251	NODE_6251_length_16035_cov_3.828473	16035.0	6.03116	6.03116	7.05099	bin.003	61.0							Bacteria?					
6590	NODE_6590_length_15477_cov_3.745493	15477.0	6.02036	6.02036	7.29896	bin.003	66.0							Bacteria?					
6604	NODE_6604_length_15446_cov_4.292898	15446.0	7.19986	7.19986	8.72188	bin.003	64.0							Bacteria?					
6635	NODE_6635_length_15401_cov_3.879513	15401.0	6.23893	6.23893	6.84062	bin.003	64.0							Bacteria?					
6661	NODE_6661_length_15365_cov_3.857675	15365.0	6.12231	6.12231	5.61979	bin.003	64.0							Bacteria?					
6688	NODE_6688_length_15322_cov_3.589114	15322.0	6.04159	6.04159	7.51168	bin.003	64.0							Bacteria?					
6751	NODE_6751_length_15220_cov_3.157732	15220.0	5.71652	5.71652	7.3617	bin.003	64.0							Bacteria?					
6764	NODE_6764_length_15205_cov_4.399472	15205.0	6.9268	6.9268	8.52989	bin.003	65.0							Bacteria?					
6818	NODE_6818_length_15124_cov_4.067755	15124.0	6.86583	6.86583	9.81244	bin.003	65.0							Bacteria?					
6836	NODE_6836_length_15089_cov_4.099574	15089.0	6.53973	6.53973	7.82641	bin.003	65.0							Bacteria?					
6852	NODE_6852_length_15064_cov_4.020188	15064.0	6.42175	6.42175	9.51543	bin.003	60.0							Bacteria?					
6860	NODE_6860_length_15046_cov_4.229471	15046.0	6.6928	6.6928	4.6908	bin.003	63.0							Bacteria?					
6911	NODE_6911_length_14974_cov_3.725652	14974.0	6.30727	6.30727	9.73709	bin.003	65.0							Bacteria?					
6915	NODE_6915_length_14969_cov_4.224554	14969.0	6.67677	6.67677	6.2913	bin.003	66.0							Bacteria?					
7048	NODE_7048_length_14764_cov_3.868856	14764.0	6.1851	6.1851	7.32238	bin.003	64.0							Bacteria?					
7073	NODE_7073_length_14724_cov_3.949349	14724.0	6.57863	6.57863	7.97908	bin.003	63.0							Bacteria?					
7091	NODE_7091_length_14699_cov_4.102704	14699.0	6.39199	6.39199	7.27469	bin.003	63.0							Bacteria?					
7131	NODE_7131_length_14634_cov_4.307771	14634.0	6.83782	6.83782	7.6644	bin.003	64.0							Bacteria?					
7171	NODE_7171_length_14582_cov_3.978660	14582.0	6.3802	6.3802	5.65174	bin.003	64.0							Bacteria?					
7392	NODE_7392_length_14313_cov_3.897251	14313.0	6.10633	6.10633	7.46189	bin.003	64.0							Bacteria?					
7514	NODE_7514_length_14148_cov_3.427091	14148.0	5.50829	5.50829	6.02856	bin.003	62.0							Bacteria?					
7532	NODE_7532_length_14129_cov_4.343683	14129.0	6.8736	6.8736	7.75209	bin.003	65.0							Bacteria?					
7546	NODE_7546_length_14106_cov_4.144830	14106.0	6.93422	6.93422	8.59634	bin.003	63.0							Bacteria?					
7548	NODE_7548_length_14105_cov_3.992527	14105.0	7.15428	7.15428	8.57139	bin.003	64.0							Bacteria?					
7686	NODE_7686_length_13930_cov_4.766631	13930.0	7.68142	7.68142	9.42743	bin.003	65.0							Bacteria?					
7702	NODE_7702_length_13913_cov_4.236326	13913.0	6.81051	6.81051	8.61021	bin.003	64.0							Bacteria?					
7707	NODE_7707_length_13907_cov_3.354678	13907.0	5.92564	5.92564	6.32706	bin.003	65.0							Bacteria?					
7767	NODE_7767_length_13832_cov_3.906148	13832.0	6.15327	6.15327	7.38032	bin.003	65.0							Bacteria?					
7786	NODE_7786_length_13808_cov_4.110449	13808.0	6.57292	6.57292	7.3827	bin.003	64.0							Bacteria?					
7811	NODE_7811_length_13772_cov_3.597798	13772.0	5.7554	5.7554	6.57765	bin.003	66.0							Bacteria?					
7852	NODE_7852_length_13731_cov_4.212562	13731.0	6.48892	6.48892	9.26542	bin.003	65.0							Bacteria?					
7856	NODE_7856_length_13725_cov_3.791222	13725.0	6.03794	6.03794	6.41631	bin.003	66.0							Bacteria?					
7892	NODE_7892_length_13687_cov_3.639011	13687.0	5.90677	5.90677	7.39582	bin.003	64.0							Bacteria?					
