	bin	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
0	bin.001	553024.0	1	52	NODE_2087_length_33473_cov_4.492639	33473.0		Bacteria?		Bacteria?	485109.0	87.0
1	bin.002	252843.0	0	51	NODE_6332_length_15888_cov_3.682309	15888.0		Bacteria?		Bacteria?	211235.0	83.0
2	bin.003	7400336.0	10	63	NODE_1720_length_37891_cov_4.263929	37891.0		Bacteria?		Bacteria?	7203964.0	97.0
3	bin.004	205153.0	27	35	NODE_4307_length_20681_cov_3.986425	20681.0	1.0	dsDNAphage	|full	dsDNAphage	205153.0	100.0
4	bin.005	1908947.0	11	62	NODE_428_length_81867_cov_16.433897	81867.0		Bacteria?		Bacteria?	1716526.0	89.0
5	bin.006	5033289.0	12	61	NODE_853_length_55653_cov_6.933631	55653.0		Bacteria?		Bacteria?	4882547.0	97.0
6	bin.007	341727.0	13	38	NODE_276_length_105418_cov_6.904188	105418.0	0.993	dsDNAphage	|full	dsDNAphage	251037.0	73.0
7	bin.008	288260.0	0	38	NODE_10853_length_10983_cov_2.798682	10983.0		Bacteria?		Bacteria?	258639.0	89.0
8	bin.009	4781097.0	0	65	NODE_191_length_128693_cov_15.283586	128693.0		Bacteria?		Bacteria?	4676642.0	97.0
9	bin.010	7985643.0	8	62	NODE_490_length_76109_cov_4.038999	76109.0		Bacteria?		Bacteria?	7797201.0	97.0
10	bin.011	380454.0	3	51	NODE_2342_length_31028_cov_3.762180	31028.0	0.847	dsDNAphage	|full	dsDNAphage	242241.0	63.0
11	bin.012	4790547.0	12	62	NODE_1040_length_50010_cov_8.436873	50010.0	1.0	dsDNAphage	|full	Bacteria?	4653705.0	97.0
12	bin.013	641629.0	1	59	NODE_6912_length_14974_cov_3.318185	14974.0		Bacteria?		Bacteria?	623426.0	97.0
13	bin.014	14774727.0	56	62	NODE_6_length_609648_cov_15.936038	609648.0	0.927	dsDNAphage	|0_partial	Bacteria?	13509553.0	91.0
14	bin.015	111395.0	0	47	NODE_7889_length_13694_cov_3.105873	13694.0		Bacteria?		Bacteria?	105127.0	94.0
15	bin.016	1412956.0	1	68	NODE_5112_length_18354_cov_4.361768	18354.0		Bacteria?		Bacteria?	1377618.0	97.0
16	bin.017	4249808.0	6	66	NODE_184_length_131666_cov_6.150451	131666.0		Bacteria?		Bacteria?	4068829.0	95.0
17	bin.018	317573.0	1	64	NODE_261_length_108167_cov_6.097269	108167.0		Bacteria?		Bacteria?	287576.0	90.0
18	bin.019	1626507.0	0	62	NODE_2664_length_28386_cov_3.732519	28386.0		Bacteria?		Bacteria?	1550144.0	95.0
19	bin.020	206237.0	4	23	NODE_944_length_52584_cov_5.950275	52584.0	1.0	NCLDV	|full	NCLDV	190661.0	92.0
20	bin.021	51116.0	0	61	NODE_15496_length_8570_cov_4.480799	8570.0		Bacteria?		Bacteria?	44535.0	87.0
21	bin.022	5366756.0	0	61	NODE_95_length_180655_cov_5.738632	180655.0		Bacteria?		Bacteria?	5366756.0	100.0
22	bin.023	437424.0	9	39	NODE_13_length_437424_cov_10.394975	437424.0	0.98	dsDNAphage	|full	dsDNAphage	437424.0	100.0
23	bin.024	109752.0	0	41	NODE_14373_length_9030_cov_3.564791	9030.0		Bacteria?		Bacteria?	97950.0	89.0
24	bin.025	1959653.0	0	61	NODE_1751_length_37643_cov_8.071991	37643.0		Bacteria?		Bacteria?	1929719.0	98.0
25	bin.026	228046.0	13	58	NODE_59_length_228046_cov_9.080170	228046.0	0.987	dsDNAphage	|full	dsDNAphage	228046.0	100.0
26	bin.027	257414.0	0	64	NODE_11892_length_10280_cov_3.175844	10280.0		Bacteria?		Bacteria?	257414.0	100.0
27	bin.028	1017128.0	6	66	NODE_3282_length_24859_cov_4.060313	24859.0		Bacteria?		Bacteria?	979915.0	96.0
28	bin.029	185174.0	0	52	NODE_7469_length_14203_cov_4.354891	14203.0		Bacteria?		Bacteria?	172834.0	93.0
29	bin.030	3702316.0	3	47	NODE_1309_length_44149_cov_4.421395	44149.0		Bacteria?		Bacteria?	3639806.0	98.0
30	bin.031	2804264.0	20	37	NODE_2610_length_28760_cov_4.070162	28760.0		Bacteria?		Bacteria?	2590791.0	92.0
31	bin.032	496329.0	0	43	NODE_9254_length_12240_cov_3.330899	12240.0		Bacteria?		Bacteria?	432043.0	87.0
32	bin.033	828550.0	0	52	NODE_16_length_385895_cov_91.317209	385895.0		Bacteria?		Bacteria?	794983.0	95.0
33	bin.034	2486689.0	1	65	NODE_1822_length_36527_cov_7.206871	36527.0		Bacteria?		Bacteria?	2448103.0	98.0
34	bin.035	312699.0	0	45	NODE_1793_length_36994_cov_3.902569	36994.0	0.633	NCLDV	|full	Bacteria?	218477.0	69.0
35	bin.036	1182774.0	2	62	NODE_767_length_58962_cov_12.779585	58962.0		Bacteria?		Bacteria?	1109774.0	93.0
36	bin.037	549133.0	2	51	NODE_1895_length_35649_cov_3.906979	35649.0		Bacteria?		Bacteria?	516681.0	94.0
37	bin.038	77120.0	0	56	NODE_11455_length_10554_cov_2.717402	10554.0		Bacteria?		Bacteria?	71784.0	93.0
38	bin.039	263195.0	0	60	NODE_441_length_81116_cov_43.731017	81116.0		Bacteria?		Bacteria?	263195.0	100.0
39	bin.040	125651.0	11	69	NODE_6168_length_16171_cov_3.626520	16171.0	0.933	dsDNAphage	|full	dsDNAphage	91008.0	72.0
40	bin.041	441527.0	0	62	NODE_990_length_51172_cov_6.071287	51172.0		Bacteria?		Bacteria?	431650.0	97.0
41	bin.042	127582.0	2	30	NODE_7597_length_14044_cov_3.096433	14044.0	0.973	dsDNAphage	|full	dsDNAphage	77495.0	60.0
42	bin.043	285055.0	0	49	NODE_5253_length_17956_cov_3.735657	17956.0		Bacteria?		Bacteria?	268268.0	94.0
43	bin.044	4162789.0	4	62	NODE_203_length_122983_cov_7.728483	122983.0		Bacteria?		Bacteria?	4095940.0	98.0
44	bin.045	4511306.0	7	59	NODE_240_length_113240_cov_17.123479	113240.0		Bacteria?		Bacteria?	4386937.0	97.0
45	bin.046	2869705.0	0	54	NODE_44_length_261458_cov_37.871513	261458.0		Bacteria?		Bacteria?	2763971.0	96.0
46	bin.047	151005832.0	564	58	NODE_38_length_280377_cov_7.747658	280377.0	0.913	dsDNAphage	|0_partial	Bacteria?	141830485.0	93.0
47	bin.048	238261.0	3	48	NODE_128_length_162861_cov_18.067786	162861.0	0.973	dsDNAphage	|full	dsDNAphage	238261.0	100.0
48	bin.049	149981.0	2	33	NODE_5066_length_18471_cov_3.457320	18471.0	0.94	lavidaviridae	|full	NCLDV	81825.0	54.0
49	bin.050	5486325.0	24	53	NODE_4_length_858545_cov_11.097005	858545.0		Bacteria?		Bacteria?	4846897.0	88.0
50	bin.051	4517051.0	7	39	NODE_57_length_233333_cov_31.028575	233333.0		Bacteria?		Bacteria?	4372360.0	96.0
51	bin.052	4300849.0	0	63	NODE_8_length_606709_cov_113.275515	606709.0		Bacteria?		Bacteria?	4211194.0	97.0
52	bin.053	860642.0	0	52	NODE_41_length_272718_cov_27.011725	272718.0		Bacteria?		Bacteria?	860642.0	100.0
53	bin.054	365464.0	6	48	NODE_3322_length_24667_cov_3.613928	24667.0	0.9	NCLDV	|full	NCLDV	157490.0	43.0
54	bin.055	882058.0	1	51	NODE_98_length_177113_cov_6.271357	177113.0		Bacteria?		Bacteria?	826580.0	93.0
55	bin.056	876203.0	0	52	NODE_26_length_325547_cov_14.413995	325547.0		Bacteria?		Bacteria?	876203.0	100.0
56	bin.057	1323330.0	9	65	NODE_487_length_76398_cov_11.990844	76398.0	1.0	dsDNAphage	|full	Bacteria?	1218329.0	92.0
57	bin.058	2257743.0	0	36	NODE_12_length_437942_cov_11.591568	437942.0		Bacteria?		Bacteria?	1742060.0	77.0
58	bin.059	3530168.0	1	63	NODE_4497_length_20086_cov_4.659977	20086.0		Bacteria?		Bacteria?	3384716.0	95.0
59	bin.060	2769723.0	2	58	NODE_357_length_90124_cov_6.988187	90124.0		Bacteria?		Bacteria?	2676546.0	96.0
60	bin.061	601555.0	0	51	NODE_166_length_138929_cov_14.059306	138929.0		Bacteria?		Bacteria?	601555.0	100.0
61	bin.062	2816105.0	9	39	NODE_3303_length_24760_cov_3.568468	24760.0	0.967	lavidaviridae	|0_partial	Bacteria?	2488900.0	88.0
62	bin.063	204174.0	0	31	NODE_77_length_204174_cov_7.809552	204174.0	0.627	NCLDV	|full	NCLDV	204174.0	100.0
63	bin.064	1806839.0	2	68	NODE_2293_length_31458_cov_3.898163	31458.0		Bacteria?		Bacteria?	1720667.0	95.0
64	bin.065	260841.0	11	51	NODE_45_length_260841_cov_54.850299	260841.0	1.0	dsDNAphage	|full	dsDNAphage	260841.0	100.0
65	bin.066	530803.0	12	61	NODE_10_length_530803_cov_27.844244	530803.0	0.953	dsDNAphage	|full	dsDNAphage	530803.0	100.0
66	bin.067	2048041.0	0	54	NODE_154_length_145328_cov_18.968790	145328.0		Bacteria?		Bacteria?	2042548.0	99.0
67	bin.068	1289938.0	0	65	NODE_1723_length_37858_cov_4.285454	37858.0		Bacteria?		Bacteria?	1289938.0	100.0
68	bin.069	1048499.0	0	45	NODE_112_length_171312_cov_5.379447	171312.0		Bacteria?		Bacteria?	1026662.0	97.0
69	bin.070	216371.0	14	49	NODE_69_length_216371_cov_170.104967	216371.0	1.0	dsDNAphage	|full	dsDNAphage	216371.0	100.0
70	bin.071	1756559.0	0	44	NODE_1052_length_49727_cov_6.494524	49727.0		Bacteria?		Bacteria?	1723488.0	98.0
71	bin.072	306525.0	0	54	NODE_8712_length_12801_cov_3.762514	12801.0		Bacteria?		Bacteria?	280768.0	91.0
72	bin.073	792132.0	0	54	NODE_88_length_187789_cov_8.833253	187789.0		Bacteria?		Bacteria?	769438.0	97.0
73	bin.074	2577173.0	4	62	NODE_285_length_102225_cov_10.239816	102225.0		Bacteria?		Bacteria?	2500628.0	97.0
74	bin.075	3819641.0	0	61	NODE_96_length_180454_cov_8.652886	180454.0		Bacteria?		Bacteria?	3806356.0	99.0
75	bin.076	5312929.0	5	62	NODE_243_length_112104_cov_12.013226	112104.0		Bacteria?		Bacteria?	5268367.0	99.0
76	bin.077	5159012.0	4	60	NODE_194_length_127783_cov_22.885718	127783.0		Bacteria?		Bacteria?	5075364.0	98.0
77	bin.078	359944.0	0	64	NODE_8771_length_12745_cov_3.131521	12745.0		Bacteria?		Bacteria?	352632.0	97.0
78	bin.079	1785297.0	1	36	NODE_2997_length_26309_cov_4.346614	26309.0	0.987	NCLDV	|full	Bacteria?	1523910.0	85.0
79	bin.080	353766.0	0	58	NODE_660_length_63606_cov_10.313260	63606.0		Bacteria?		Bacteria?	353766.0	100.0
80	bin.081	1047230.0	3	50	NODE_1078_length_48739_cov_4.807288	48739.0		Bacteria?		Bacteria?	936035.0	89.0
81	bin.083	499497.0	18	58	NODE_2437_length_30189_cov_4.704155	30189.0	0.893	dsDNAphage	|full	dsDNAphage	265714.0	53.0
82	bin.084	1000299.0	1	55	NODE_3040_length_26108_cov_3.966146	26108.0		Bacteria?		Bacteria?	869207.0	86.0
83	bin.085	367226.0	11	59	NODE_277_length_105136_cov_7.035325	105136.0	0.833	dsDNAphage	|full	dsDNAphage	367226.0	100.0
84	bin.086	1007921.0	0	52	NODE_30_length_310616_cov_7.150476	310616.0		Bacteria?		Bacteria?	966992.0	95.0
85	bin.087	281533.0	0	54	NODE_78_length_201772_cov_46.486137	201772.0		Bacteria?		Bacteria?	281533.0	100.0
86	bin.088	954136.0	0	55	NODE_11_length_468416_cov_17.386586	468416.0		Bacteria?		Bacteria?	954136.0	100.0
