	seqname	contigLen	totalAvgDepth	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
13247	NODE_13248_length_8543_cov_3.265434	8543	5.22149	5.22149	6.27308	bin.001	52.0							Bacteria?					
13654	NODE_13655_length_8349_cov_3.160839	8349	5.05098	5.05098	5.11901	bin.001	57.0							Bacteria?					
14633	NODE_14634_length_7955_cov_2.921139	7955	4.69622	4.69622	4.01553	bin.001	57.0							Bacteria?					
15060	NODE_15061_length_7785_cov_3.202458	7785	5.06352	5.06352	4.61559	bin.001	53.0							Bacteria?					
16902	NODE_16903_length_7196_cov_3.159221	7196	4.96182	4.96182	4.83509	bin.001	56.0							Bacteria?					
17198	NODE_17199_length_7115_cov_3.058357	7115	4.7476	4.7476	4.8416	bin.001	52.0							Bacteria?					
17447	NODE_17448_length_7049_cov_3.851587	7049	6.05146	6.05146	6.84326	bin.001	54.0	bin.001	0.247	0.0	0.087	0.72	0.72	NCLDV	7047.0	0.0	16.7	0.0	|full
17874	NODE_17875_length_6926_cov_3.247562	6926	5.058	5.058	5.12451	bin.001	58.0							Bacteria?					
18463	NODE_18464_length_6779_cov_2.643516	6779	4.13456	4.13456	3.22812	bin.001	53.0							Bacteria?					
18731	NODE_18732_length_6712_cov_2.963497	6712	4.76486	4.76486	4.71029	bin.001	54.0							Bacteria?					
18876	NODE_18877_length_6680_cov_3.435623	6680	5.47443	5.47443	8.00886	bin.001	54.0							Bacteria?					
19403	NODE_19404_length_6553_cov_2.930440	6553	4.69061	4.69061	3.20592	bin.001	57.0							Bacteria?					
19964	NODE_19965_length_6423_cov_3.638034	6423	5.59525	5.59525	4.20585	bin.001	55.0							Bacteria?					
20673	NODE_20674_length_6281_cov_2.761966	6281	4.39374	4.39374	3.65466	bin.001	56.0							Bacteria?					
20800	NODE_20801_length_6254_cov_3.025811	6254	4.73902	4.73902	4.70085	bin.001	56.0	bin.001	0.353	0.04	0.453	0.807	0.807	NCLDV	5758.0	0.0	40.0	0.0	|full
22106	NODE_22107_length_6011_cov_2.602418	6011	3.97594	3.97594	3.232	bin.001	55.0							Bacteria?					
22650	NODE_22651_length_5907_cov_2.793404	5907	4.47334	4.47334	4.92716	bin.001	56.0							Bacteria?					
22674	NODE_22675_length_5904_cov_2.797572	5904	4.47046	4.47046	6.13041	bin.001	54.0							Bacteria?					
22899	NODE_22900_length_5862_cov_3.518512	5862	5.5513	5.5513	6.60963	bin.001	54.0							Bacteria?					
23412	NODE_23413_length_5775_cov_3.117133	5775	4.85724	4.85724	3.414	bin.001	53.0							Bacteria?					
23575	NODE_23576_length_5747_cov_2.841883	5747	3.96802	3.96802	3.28302	bin.001	55.0							Bacteria?					
24225	NODE_24226_length_5636_cov_3.191364	5636	4.84962	4.84962	6.27044	bin.001	56.0							Bacteria?					
24241	NODE_24242_length_5633_cov_3.063284	5633	4.79774	4.79774	3.50471	bin.001	53.0							Bacteria?					
24300	NODE_24301_length_5625_cov_2.723339	5625	4.22904	4.22904	4.25612	bin.001	56.0							Bacteria?					
24464	NODE_24465_length_5599_cov_3.505772	5599	5.41732	5.41732	8.08915	bin.001	54.0	bin.001	0.52	0.16	0.693	0.5	0.693	lavidaviridae	5597.0	0.0	50.0	0.0	|full
24502	NODE_24503_length_5594_cov_2.912620	5594	4.5698	4.5698	5.85389	bin.001	55.0							Bacteria?					
25251	NODE_25252_length_5479_cov_3.017146	5479	4.67968	4.67968	3.79605	bin.001	55.0							Bacteria?					
