Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.001	k__Bacteria	5449	104	58	89	15	0	0	0	0	24.14	0.0
bin.002	k__Bacteria	2258	188	117	143	45	0	0	0	0	20.95	0.0
bin.003	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.004	k__Bacteria	5449	104	58	93	11	0	0	0	0	13.79	0.0
bin.005	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.006	p__Bacteroidetes	350	316	210	166	145	5	0	0	0	52.53	2.38
bin.007	k__Bacteria	5449	104	58	60	25	19	0	0	0	62.54	27.59
bin.008	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.009	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.010	k__Bacteria	924	151	101	76	32	27	15	0	1	50.89	45.78
bin.011	k__Bacteria	5449	103	58	93	10	0	0	0	0	16.38	0.0
bin.012	o__Burkholderiales	107	574	251	88	468	18	0	0	0	91.78	3.24
bin.013	k__Bacteria	5449	104	58	13	91	0	0	0	0	80.46	0.0
bin.014	k__Bacteria	88	227	146	33	192	2	0	0	0	84.93	1.37
bin.015	k__Bacteria	2258	185	115	23	147	15	0	0	0	83.83	5.48
bin.016	k__Archaea	207	149	107	140	9	0	0	0	0	1.83	0.0
bin.017	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.018	k__Bacteria	901	171	117	130	30	11	0	0	0	25.54	8.12
bin.019	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.020	k__Bacteria	2258	187	116	4	180	3	0	0	0	98.44	2.16
bin.021	k__Bacteria	924	151	101	50	95	6	0	0	0	64.81	4.46
bin.022	k__Bacteria	5449	104	58	73	31	0	0	0	0	47.57	0.0
bin.023	o__Rhodospirillales	63	336	201	175	149	12	0	0	0	50.89	3.68
bin.024	k__Bacteria	5449	104	58	79	25	0	0	0	0	41.38	0.0
bin.025	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.026	k__Bacteria	924	151	101	114	35	2	0	0	0	21.86	1.98
bin.027	k__Bacteria	88	230	148	107	122	1	0	0	0	57.71	0.03
bin.028	k__Bacteria	5449	102	56	97	5	0	0	0	0	8.93	0.0
bin.029	k__Bacteria	924	161	108	56	102	3	0	0	0	62.29	2.16
bin.030	p__Bacteroidetes	364	303	203	30	265	8	0	0	0	92.41	2.59
bin.031	o__Rickettsiales	83	324	211	250	74	0	0	0	0	20.68	0.0
bin.032	k__Bacteria	5449	104	58	5	45	40	9	3	2	93.97	76.23
bin.033	k__Bacteria	5449	101	57	83	18	0	0	0	0	28.07	0.0
bin.034	root	5656	56	24	55	1	0	0	0	0	4.17	0.0
bin.035	k__Bacteria	5449	103	57	13	73	17	0	0	0	80.54	7.02
bin.036	k__Archaea	207	149	107	142	7	0	0	0	0	0.9	0.0
bin.037	k__Bacteria	924	151	101	93	58	0	0	0	0	32.39	0.0
bin.038	root	5656	56	24	54	2	0	0	0	0	8.33	0.0
bin.039	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.040	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.041	k__Bacteria	5449	101	57	78	23	0	0	0	0	38.6	0.0
bin.042	k__Bacteria	5449	104	58	1	8	11	10	4	70	99.84	1208.48
bin.043	k__Bacteria	5449	104	58	57	46	1	0	0	0	64.62	0.86
bin.044	k__Bacteria	901	171	117	55	115	1	0	0	0	58.52	0.85
bin.045	p__Proteobacteria	2231	190	119	97	53	26	10	3	1	52.71	34.87
bin.046	k__Bacteria	5449	104	58	104	0	0	0	0	0	0.0	0.0
bin.047	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.048	k__Bacteria	5449	103	58	71	29	3	0	0	0	42.4	5.17
bin.049	c__Alphaproteobacteria	564	349	230	119	215	15	0	0	0	70.82	3.33
bin.050	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.051	k__Bacteria	88	230	148	76	142	11	1	0	0	72.03	6.78
bin.052	k__Bacteria	5449	104	58	21	38	36	9	0	0	93.01	72.99
bin.053	k__Bacteria	924	151	101	56	68	22	4	1	0	56.71	21.75
bin.054	k__Bacteria	2258	187	116	49	135	3	0	0	0	78.81	2.59
bin.055	k__Bacteria	88	227	146	34	188	5	0	0	0	89.08	2.77
bin.056	k__Bacteria	5449	104	58	10	16	29	21	27	1	95.3	192.47
bin.057	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.058	k__Bacteria	924	151	101	41	107	3	0	0	0	63.66	2.97
bin.059	k__Bacteria	901	171	117	82	89	0	0	0	0	52.58	0.0
bin.060	k__Bacteria	924	151	101	48	95	8	0	0	0	62.07	6.93
bin.061	k__Bacteria	5449	104	58	63	34	6	1	0	0	59.8	13.79
bin.062	k__Bacteria	5449	104	58	5	53	43	3	0	0	99.22	66.04
bin.063	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.064	k__Bacteria	5449	104	58	0	9	27	51	15	2	100.0	176.68
bin.065	k__Bacteria	5449	104	58	20	43	22	11	7	1	85.89	63.56
bin.066	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.067	k__Bacteria	901	171	117	42	129	0	0	0	0	68.21	0.0
