Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.001	c__Alphaproteobacteria	564	349	230	108	212	29	0	0	0	66.08	7.8
bin.002	k__Bacteria	2258	187	116	37	143	7	0	0	0	77.59	4.42
bin.003	k__Bacteria	2258	181	110	13	165	3	0	0	0	90.45	2.73
bin.004	k__Bacteria	924	151	101	42	109	0	0	0	0	63.53	0.0
bin.005	k__Bacteria	88	230	148	30	196	4	0	0	0	86.08	1.27
bin.006	c__Gammaproteobacteria	67	481	276	42	396	42	1	0	0	93.61	9.84
bin.007	k__Bacteria	88	230	148	135	79	16	0	0	0	39.12	7.83
bin.008	k__Bacteria	5449	104	58	18	86	0	0	0	0	71.84	0.0
bin.009	k__Bacteria	88	230	148	8	221	1	0	0	0	94.93	0.68
bin.010	k__Bacteria	2993	147	91	38	106	3	0	0	0	70.76	2.38
bin.011	k__Bacteria	924	161	108	9	152	0	0	0	0	95.41	0.0
bin.012	k__Bacteria	901	171	117	95	75	1	0	0	0	40.16	0.85
bin.013	k__Bacteria	924	151	101	28	122	1	0	0	0	74.26	0.99
bin.014	p__Bacteroidetes	350	316	210	22	290	4	0	0	0	91.7	1.22
bin.015	k__Bacteria	924	161	108	66	95	0	0	0	0	60.63	0.0
bin.016	p__Bacteroidetes	350	316	210	13	298	5	0	0	0	93.81	1.31
bin.017	o__Rhizobiales	107	485	316	131	223	79	36	11	5	73.78	38.05
bin.018	k__Bacteria	2993	143	89	52	90	1	0	0	0	61.53	1.12
bin.019	k__Bacteria	924	151	101	38	113	0	0	0	0	68.37	0.0
bin.020	k__Bacteria	88	230	148	61	158	11	0	0	0	66.81	3.91
bin.021	k__Bacteria	2258	188	117	28	160	0	0	0	0	82.74	0.0
bin.022	p__Euryarchaeota	148	188	125	50	134	4	0	0	0	78.81	2.4
bin.023	k__Bacteria	2258	188	117	63	115	10	0	0	0	69.59	5.11
bin.024	k__Archaea	207	145	103	27	97	19	2	0	0	80.1	12.17
bin.025	k__Bacteria	2921	141	86	32	108	1	0	0	0	77.73	0.58
bin.026	k__Bacteria	924	161	108	54	100	7	0	0	0	66.33	4.63
bin.027	k__Bacteria	924	151	101	56	94	1	0	0	0	58.02	0.11
bin.028	c__Gammaproteobacteria	67	481	276	191	255	34	1	0	0	61.54	7.63
bin.029	c__Deltaproteobacteria	83	247	155	78	159	10	0	0	0	67.39	2.2
bin.030	c__Alphaproteobacteria	26	529	308	252	204	61	10	1	1	51.55	25.81
bin.031	k__Bacteria	2258	188	117	16	168	4	0	0	0	88.46	2.99
bin.032	o__Burkholderiales	108	570	250	45	499	26	0	0	0	94.68	5.34
bin.033	k__Bacteria	88	230	148	28	200	2	0	0	0	86.59	1.35
bin.034	k__Bacteria	924	151	101	24	125	2	0	0	0	78.22	0.2
bin.035	k__Bacteria	2258	188	117	85	100	3	0	0	0	43.24	1.08
bin.036	k__Bacteria	901	171	117	17	84	66	3	1	0	95.06	53.59
bin.037	o__Rickettsiales	83	324	211	114	202	8	0	0	0	58.45	2.76
bin.038	k__Bacteria	924	161	108	12	145	4	0	0	0	95.5	3.24
bin.039	k__Bacteria	924	151	101	51	100	0	0	0	0	59.57	0.0
bin.040	c__Gammaproteobacteria	1164	275	174	36	230	8	1	0	0	83.27	2.91
bin.041	k__Bacteria	2258	188	117	83	105	0	0	0	0	52.7	0.0
