Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.001	o__Rhodospirillales	63	336	201	85	210	38	3	0	0	75.18	15.45
bin.002	k__Bacteria	924	151	101	63	88	0	0	0	0	56.57	0.0
bin.003	k__Bacteria	2993	147	91	25	119	3	0	0	0	87.38	2.56
bin.004	k__Bacteria	2993	147	91	21	126	0	0	0	0	96.98	0.0
bin.005	k__Bacteria	2258	188	117	21	164	3	0	0	0	95.01	1.71
bin.006	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38
bin.007	c__Gammaproteobacteria	67	481	276	101	316	60	3	1	0	82.51	16.87
bin.008	k__Bacteria	88	230	148	40	168	21	0	1	0	92.62	11.96
bin.009	o__Rhizobiales	107	485	316	34	436	15	0	0	0	92.63	3.82
bin.010	k__Bacteria	901	171	117	50	119	2	0	0	0	61.51	0.57
bin.011	k__Bacteria	2258	185	115	29	152	4	0	0	0	91.84	2.61
bin.012	k__Bacteria	901	171	117	79	87	5	0	0	0	47.55	4.27
bin.013	k__Bacteria	2258	187	116	36	145	5	1	0	0	85.65	4.89
bin.014	k__Bacteria	2993	143	89	25	118	0	0	0	0	74.53	0.0
bin.015	k__Archaea	207	149	107	26	121	2	0	0	0	78.97	1.87
bin.016	o__Pseudomonadales	185	813	308	115	678	20	0	0	0	81.25	2.95
bin.017	k__Bacteria	88	227	146	27	170	30	0	0	0	90.72	10.52
bin.018	k__Bacteria	924	151	101	43	107	1	0	0	0	62.18	0.99
bin.019	k__Bacteria	924	151	101	41	108	2	0	0	0	63.66	1.1
bin.020	k__Bacteria	924	151	101	89	62	0	0	0	0	30.81	0.0
bin.021	k__Bacteria	924	151	101	42	100	6	3	0	0	62.87	1.71
bin.022	k__Bacteria	924	151	101	44	96	11	0	0	0	61.68	5.9
bin.023	f__Enterobacteriaceae	55	546	224	2	544	0	0	0	0	99.89	0.0
bin.024	k__Bacteria	901	171	117	58	113	0	0	0	0	57.66	0.0
bin.025	k__Bacteria	88	227	146	3	221	3	0	0	0	97.95	1.41
bin.026	k__Bacteria	2258	181	111	1	177	3	0	0	0	99.1	2.03
bin.027	k__Bacteria	924	151	101	90	54	6	1	0	0	30.46	6.93
bin.028	k__Bacteria	901	171	117	49	122	0	0	0	0	63.22	0.0
bin.029	k__Bacteria	2258	187	116	4	179	3	1	0	0	98.44	3.88
bin.030	k__Bacteria	901	171	117	91	80	0	0	0	0	35.04	0.0
bin.031	p__Firmicutes	100	295	158	23	261	10	1	0	0	94.81	6.35
bin.032	f__Bacillaceae	128	555	180	5	520	28	2	0	0	98.25	6.37
bin.033	g__Clostridium	44	404	145	2	388	12	2	0	0	98.62	5.78
bin.034	k__Archaea	207	149	107	25	123	1	0	0	0	81.0	0.93
bin.035	k__Bacteria	2993	147	91	25	111	11	0	0	0	94.17	9.34
bin.036	k__Bacteria	2258	187	116	33	152	2	0	0	0	85.39	0.91
bin.037	k__Bacteria	2993	143	89	49	93	1	0	0	0	68.86	1.12
bin.038	k__Bacteria	88	230	148	20	204	6	0	0	0	89.86	2.03
bin.039	k__Bacteria	5449	104	58	13	91	0	0	0	0	80.46	0.0
bin.040	k__Bacteria	2258	187	116	76	107	4	0	0	0	61.08	1.44
bin.041	k__Bacteria	924	161	108	31	129	1	0	0	0	73.61	0.93
