	seqname	contigLen	totalAvgDepth	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
6484	NODE_6485_length_10838_cov_6.851433	10838	8.70677	8.70677	22.3453	bin.001	60.0							Bacteria?					
7631	NODE_7632_length_9858_cov_5.146894	9858	7.53564	7.53564	7.74463	bin.001	61.0							Bacteria?					
10175	NODE_10176_length_8377_cov_8.623888	8377	10.1431	10.1431	17.5227	bin.001	61.0							Bacteria?					
11662	NODE_11663_length_7755_cov_9.357532	7755	10.7991	10.7991	47.9406	bin.001	61.0							Bacteria?					
13153	NODE_13154_length_7261_cov_9.737163	7261	9.78737	9.78737	36.0719	bin.001	60.0							Bacteria?					
13780	NODE_13781_length_7086_cov_6.216043	7086	8.26874	8.26874	9.6532	bin.001	61.0							Bacteria?					
14755	NODE_14756_length_6836_cov_6.135231	6836	9.08765	9.08765	9.15483	bin.001	61.0							Bacteria?					
16039	NODE_16040_length_6539_cov_5.514960	6539	7.47519	7.47519	8.03698	bin.001	60.0							Bacteria?					
19142	NODE_19143_length_5951_cov_5.352103	5951	7.387	7.387	6.80322	bin.001	60.0							Bacteria?					
19378	NODE_19379_length_5912_cov_8.634625	5912	7.53141	7.53141	14.9927	bin.001	61.0							Bacteria?					
22516	NODE_22517_length_5458_cov_5.366463	5458	7.16296	7.16296	15.0376	bin.001	60.0							Bacteria?					
22589	NODE_22590_length_5446_cov_5.212762	5446	7.94241	7.94241	7.47794	bin.001	62.0							Bacteria?					
24186	NODE_24187_length_5248_cov_6.353360	5248	8.90153	8.90153	9.47307	bin.001	60.0							Bacteria?					
24387	NODE_24388_length_5227_cov_8.082560	5227	8.71893	8.71893	28.7631	bin.001	61.0							Bacteria?					
25580	NODE_25581_length_5100_cov_7.282458	5100	8.55838	8.55838	14.9536	bin.001	61.0							Bacteria?					
8499	NODE_8500_length_9284_cov_2.980930	9284	4.73779	4.73779	3.87638	bin.002	32.0							Bacteria?					
9300	NODE_9301_length_8826_cov_3.648843	8826	5.56743	5.56743	5.92639	bin.002	36.0	bin.002	0.933	0.287	0.86	0.52	0.933	dsDNAphage	8773.0	1.0	40.0	0.0	|full
10986	NODE_10987_length_8006_cov_3.074079	8006	4.8153	4.8153	5.29375	bin.002	32.0	bin.002	0.347	0.24	0.933	0.907	0.933	lavidaviridae	7295.0	0.0	25.0	0.0	|full
11235	NODE_11236_length_7897_cov_3.036088	7897	4.81916	4.81916	4.69452	bin.002	32.0							Bacteria?					
12211	NODE_12212_length_7563_cov_3.157299	7563	5.04924	5.04924	4.98578	bin.002	34.0	bin.002	0.48	0.253	0.9	0.5	0.9	lavidaviridae	7562.0	0.0	12.5	0.0	|full
13434	NODE_13435_length_7184_cov_2.995231	7184	4.83096	4.83096	3.7109	bin.002	32.0							Bacteria?					
14801	NODE_14802_length_6827_cov_3.192115	6827	5.05392	5.05392	4.86729	bin.002	32.0							Bacteria?					
