locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGCHFFMF_00001	CDS	6633				hypothetical protein
FGCHFFMF_00002	CDS	1227				hypothetical protein
FGCHFFMF_00003	CDS	1191	ynfM			Inner membrane transport protein YnfM
FGCHFFMF_00004	CDS	1506	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_00005	CDS	2469	csxA	3.2.1.165	COG3250	Exo-beta-D-glucosaminidase
FGCHFFMF_00006	CDS	285				hypothetical protein
FGCHFFMF_00007	CDS	261				hypothetical protein
FGCHFFMF_00008	CDS	303	relE2		COG3668	Toxin RelE2
FGCHFFMF_00009	CDS	3594				hypothetical protein
FGCHFFMF_00010	CDS	255				hypothetical protein
FGCHFFMF_00011	CDS	1977	feoB		COG0370	Fe(2+) transporter FeoB
FGCHFFMF_00012	CDS	147				hypothetical protein
FGCHFFMF_00013	CDS	2154	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase
FGCHFFMF_00014	CDS	3987				hypothetical protein
FGCHFFMF_00015	CDS	1194				hypothetical protein
FGCHFFMF_00016	CDS	636				hypothetical protein
FGCHFFMF_00017	CDS	1002	rbsR		COG1609	Ribose operon repressor
FGCHFFMF_00018	CDS	1470				hypothetical protein
FGCHFFMF_00019	tRNA	84				tRNA-Leu(tag)
FGCHFFMF_00020	CDS	1095	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
FGCHFFMF_00021	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
FGCHFFMF_00022	CDS	600	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
FGCHFFMF_00023	CDS	1266	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
FGCHFFMF_00024	CDS	2439	lon	3.4.21.53	COG0466	Lon protease
FGCHFFMF_00025	CDS	621	engB			GTP-binding protein EngB
FGCHFFMF_00026	CDS	1218				hypothetical protein
FGCHFFMF_00027	CDS	642	rex_1		COG2344	Redox-sensing transcriptional repressor Rex
FGCHFFMF_00028	CDS	2673	adhE		COG1012	Aldehyde-alcohol dehydrogenase
FGCHFFMF_00029	CDS	501	hndA_1	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
FGCHFFMF_00030	CDS	1896	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
FGCHFFMF_00031	CDS	2025	hndD	1.12.1.3	COG3383	NADP-reducing hydrogenase subunit HndD
FGCHFFMF_00032	CDS	1713	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
FGCHFFMF_00033	CDS	1149				hypothetical protein
FGCHFFMF_00034	CDS	1380	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
FGCHFFMF_00035	CDS	1248	der_1			GTPase Der
FGCHFFMF_00036	CDS	1506	mqnC_1	1.21.98.1		Cyclic dehypoxanthine futalosine synthase
FGCHFFMF_00037	CDS	1116		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
FGCHFFMF_00038	CDS	396	crcB			Putative fluoride ion transporter CrcB
FGCHFFMF_00039	CDS	330				hypothetical protein
FGCHFFMF_00040	CDS	1020	cbiM			Cobalt transport protein CbiM
FGCHFFMF_00041	CDS	1137				hypothetical protein
FGCHFFMF_00042	CDS	489	fur_1		COG0735	Ferric uptake regulation protein
FGCHFFMF_00043	CDS	1161		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
FGCHFFMF_00044	CDS	1593	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
FGCHFFMF_00045	CDS	1305	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
FGCHFFMF_00046	CDS	1026				hypothetical protein
FGCHFFMF_00047	tRNA	76				tRNA-Lys(ttt)
FGCHFFMF_00048	CDS	507				hypothetical protein
FGCHFFMF_00049	CDS	336				hypothetical protein
FGCHFFMF_00050	CDS	759	esiB_1			Secretory immunoglobulin A-binding protein EsiB
FGCHFFMF_00051	CDS	552				hypothetical protein
FGCHFFMF_00052	CDS	1422	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
FGCHFFMF_00053	CDS	993	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
FGCHFFMF_00054	CDS	885	hemA	1.2.1.70		Glutamyl-tRNA reductase
FGCHFFMF_00055	CDS	1509	hemC	2.5.1.61		Porphobilinogen deaminase
FGCHFFMF_00056	CDS	1278	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
FGCHFFMF_00057	CDS	861				hypothetical protein
FGCHFFMF_00058	CDS	699	arlR		COG0745	Response regulator ArlR
FGCHFFMF_00059	CDS	1020	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FGCHFFMF_00060	CDS	1353	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
FGCHFFMF_00061	CDS	1218	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
FGCHFFMF_00062	CDS	1011	hemH	4.99.1.1	COG0276	Ferrochelatase
FGCHFFMF_00063	CDS	438			COG0864	Putative nickel-responsive regulator
FGCHFFMF_00064	CDS	687	larMN		COG0310	putative fused nickel transport protein LarMN
FGCHFFMF_00065	CDS	336				hypothetical protein
FGCHFFMF_00066	CDS	705	nikQ		COG0619	Nickel transport protein NikQ
FGCHFFMF_00067	CDS	789	nikO	3.6.3.-	COG1122	Nickel import ATP-binding protein NikO
FGCHFFMF_00068	CDS	3231				hypothetical protein
FGCHFFMF_00069	CDS	855				hypothetical protein
FGCHFFMF_00070	CDS	873				hypothetical protein
FGCHFFMF_00071	CDS	363				hypothetical protein
FGCHFFMF_00072	CDS	1266				hypothetical protein
FGCHFFMF_00073	CDS	483	smpB		COG0691	SsrA-binding protein
FGCHFFMF_00074	tmRNA	352	ssrA			transfer-messenger RNA, SsrA
FGCHFFMF_00075	CDS	501	rbr2	1.11.1.1	COG1592	Rubrerythrin-2
FGCHFFMF_00076	CDS	792	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
FGCHFFMF_00077	CDS	567	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
FGCHFFMF_00078	CDS	564	yceI			Protein YceI
FGCHFFMF_00079	CDS	456	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
FGCHFFMF_00080	CDS	1284				hypothetical protein
FGCHFFMF_00081	CDS	1401	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
FGCHFFMF_00082	CDS	792	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
FGCHFFMF_00083	CDS	1362	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
FGCHFFMF_00084	CDS	699	ompR			Transcriptional regulatory protein OmpR
FGCHFFMF_00085	CDS	1374				hypothetical protein
FGCHFFMF_00086	CDS	990				hypothetical protein
FGCHFFMF_00087	CDS	1992	macB	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
FGCHFFMF_00088	CDS	963	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
FGCHFFMF_00089	CDS	741				hypothetical protein
FGCHFFMF_00090	CDS	2583	mgtA_1	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
FGCHFFMF_00091	CDS	1131	thiO	1.4.3.19	COG0665	Glycine oxidase
